file,sent_idx,char_idx,sentence,phrases,lem_phrases
1902-03a,1149,163030,"Der Kirchenraub in seinen verschiedenen Formen ist ein¬
sehr wichtiges Mittel der ursprünglichen Akkumulation des Kapitals geworden.",Ursprünglichen Akkumulation,ursprünglich akkumulation
1902-03a,3132,451730,"Den Kapitalisten stellt so die Ubervölke¬
rung eine Reservearmee von ungeheurer Ausdehnung zur Verfügung und ermöglicht.
ihnen, die niedrigsten Löhne zu bezahlen und die Ausbeutung bis aufs äußerste aus¬
zudehnen.",Reservearmee,reservearmee
1905-06b,910,128389,"Aber unsere Gegner konnten immerhin sagen, daß doch wenigstens die in den Staats¬
werften und im Schiff- und Hafenbau überhaupt beschäftigten Arbeiter von der Ver¬
stärkung der Flotte einen direkten Vorteil haben müßten, und daß die Reservearmee,
der Arbeitslosen durch die Inangriffnahme gewaltiger Schiff- und Hafenbauten nicht
unerheblich gelichtet werden würde.",Reservearmee,reservearmee
1905-06b,6665,962362,"Davon abgesehen, ist manche einzelne Beweisführung des Buches, so jene der
Notwendigkeit der industriellen Reservearmee im kapitalistischen System, sehr gut
durchgeführt und im Hinblick auf jene nutztheoretische Basis und andere Dinge nicht
ohne Pikanterie zu lesen.",industriellen Reservearmee | Reservearmee,industriell reservearmee | reservearmee
1905-06b,6668,962698,"Dem apodiktisch gefaßten Gedanken tritt da der dem Buche viel¬
näher Uegende gegenüber, daß auch die Wirtschaft der kartellierten Produktion die
Reservearmee verschwinden machen würde.",Reservearmee,reservearmee
1905-06b,6891,995083,"Von ihr ist in einer Anzahl Dramen Ibsens die
Rede: sie ist es, die bei dem Mangel an Kolonien und der schwachen Ent¬
wicklung des Großhandels die ursprüngliche Akkumulation in dieser rückständigen
Gesellschaft größtenteils besorgt.",Ursprünglichen Akkumulation,ursprünglich akkumulation
1905-06b,8878,1280358,"Progressiv,
wächst eine überschüssige Bevölkerung und die kapitalistisch-überschüfsige Arbeiter¬
reservearmee, die durch ihre Konkurrenz das Lebensniveau des städtischen Arbeitere es)
erniedrigt.",Reservearmee,reservearmee
1905-06b,18652,2715861,"Der Pachtzins ist infolge des Andranges der prole¬
tarischen Reservearmee und der Erschöpfung der Uberstedlungsgebiete im Reichsinnern.",Reservearmee,reservearmee
1899-00a,1178,182361,"Wer sich für die Geschichte der „ursprünglichen
Akkumulation"" für die Blutgeschichte des Kapitals interessirt, wird aus diesen
Kapiteln viel lernen können, denn in der That hat das Wucher- und Handelskapital in
Rußland wahre Orgien gefeiert, während auf der anderen Seite als Resultat dieser
schrankenlosen Ausbeutung eines Bauernvolks der Hunger in Permanenz erscheint.",Ursprünglichen Akkumulation,ursprünglich akkumulation
1899-00a,15434,2267551,"Wenn man die Gründe dieser Niederlage feststellen will, so ist
in allererster Linie an die Unterschätzung der industriellen Reservearmee der
Buchdrucker zu ertnnern.",industriellen Reservearmee | Reservearmee,industriell reservearmee | reservearmee
1899-00a,15435,2267717,"Von den übrigen Ursachen der Niederlage wollen wir
um deswillet absehen, weil sie bei der Wahl eines anderen Zeitpunkts vielleicht,
nicht gegolten hätten, während mit der industriellen Reservearmee die Buchdrucker,
bei jedem Strike zu rechnen haben.",industriellen Reservearmee | Reservearmee,industriell reservearmee | reservearmee
1895-96bCLEAN,21422,2851529,"Weder in England noch in Massachufetts, auf die er sich beruft,
war die Verkürzung der Arbeitszeit eine so sprunghafte, wie er sie vorschlägt,
und weder hier noch dort ist die industrielle Reservearmee dadurch merklich ver¬
ringert worden.",industriellen Reservearmee | Reservearmee,industriell reservearmee | reservearmee
1899-00b,2308,298730,"Auf die Epoche des Kampfes für die Unabhängigkeit folgte eine Epoche der un¬
eingeschränkten „ursprünglichen Akkumulation“",Ursprünglichen Akkumulation,ursprünglich akkumulation
1899-00b,19468,2706454,"Zwischen diesen äußersten Punkten bewegt sich der
Lohn hinauf oder herunter je nach dem Verhältniß des Angebots zur Nachfrage,
d. h. der disponiblen Arbeitskräfte zur Größe des produktionslustigen Kapitals
Aber in der entwickelten kapitalistischen Gesellschaft stellt sich das Angebot als
industrielle Reservearmee, d. h. eine stets vorräthige Menge Arbeitskräfte dar, die
durch dasselbe Kapital „frei"" gemacht wurden.",industriellen Reservearmee | Reservearmee,industriell reservearmee | reservearmee
1899-00b,19477,2708006,"743
Könnten sie desgleichen die Reservearmee aus der Welt schaffen oder ihr
ständiges Wachsthum beschränken, dann brächten sie es damit fertig, den Proletari¬
sirungsprozeß einzudämmen, d. h. sowohl das natürliche Ergebniß wie die gesell¬
schaftliche Voraussetzung der kapitalistischen Produktion zu vernichten.",Reservearmee,reservearmee
1899-00b,19482,2709103,"Die Gewerkschaften können freilich
durch Organisation des Angebots der Arbeitskräfte die Reservearmee.",Reservearmee,reservearmee
1899-00b,20571,2881760,"Besonders bemerkenswerth sind in der neuesten Entwicklung der Landwirthschaft¬
zwei Erscheinungen: einmal die allgemeine Landflucht der landwirthschaftlichen Be¬
völkerung, wodurch die Reservearmee der kapitalistischen Produktion für die Land¬
wirthschaft immer mehr reduzirt wird, indeß sie für die Industrie anwächst, und
die steigende Abhängigkeit der ländlichen Bevölkerung von der Industrie.",Reservearmee,reservearmee
1903-04a,9741,1355668,"Die Arbeiterentlassungen in der
deutschen Industrie kamen nicht so plötzlich, es gab ein unauffälligeres Untertauchen,
in die Reservearmee.",Reservearmee,reservearmee
1903-04a,13385,1875794,"Sie erst ermöglichte dem Staate eine moderne Verwaltung, ein
modernes Heer, sie schleuderte den Grundbesitz und den Bauer mitten in den
kapitalistischen Konkurrenzkampf, sie machte aus dem schollenpflichtigen, aber
persönlich selbständigen Bauern einen Landproletarier, sie verschaffte einer Groß¬
industrie erst ihre wichtigste Vorbedingung, eine Reservearmee.",Reservearmee,reservearmee
1903-04a,18695,2645049,"Diese enorme, über eine
Million große Reservearmee unterscheidet sich von der westeuropcischen nur¬
dadurch, daß sie nicht in Großstädten konzentriert, sondern im ganzen Lande,
zerstreut ist.",Reservearmee,reservearmee
1903-04a,18721,2648873,"Diese große Reservearmee von Proletariern drückt naturgemäß den Lohn¬
herunter.",Reservearmee,reservearmee
1903-04b,6918,1066432,"seien als in nichtkartellierten, denn die Kontinuität der Beschäftigung ergäbe
eine ständige Arbeiterschaft und verhindere die Bildung einer idustriellen
Reservearmee;",Reservearmee,reservearmee
1903-04b,6931,1069378,"Auf die Behauptungen näher einzugehen, daß die Kartelle, indem sie die
Produktion regeln, auch zugleich dem Arbeiter die Kontinuität seiner Be¬
schäftigung sichern, oder daß sie die Bildung industrieller Reservearmeen ver¬
hindern, lohnt sich nicht der Mühe.",industriellen Reservearmee | Reservearmee,industriell reservearmee | reservearmee
1903-04b,7645,1170411,"Aber diese Reservearmee landwirtschaftlicher Arbeiter war nicht
sehr groß und erschöpfte sich
ziemlich schnell.",Reservearmee,reservearmee
1903-04b,15274,2271137,"„Jede geordnete,
Volkswirtschaft braucht eben eine solche Reservearmee, um überhaupt im Gange zu
bleiben;",Reservearmee,reservearmee
1902-03b,6777,980261,"Im Innern aber bedeutet die Depression:
Einschränkung der Produktion, Vermehrung der industriellen Reservearmee,
erneute Verschlechterung der Lebensbedingungen der Arbeiterklasse.",industriellen Reservearmee | Reservearmee,industriell reservearmee | reservearmee
1902-03b,16160,2360980,Die Reservearmee sicherte den Betriebsfortgang durchaus.,Reservearmee,reservearmee
1906-07a,1730,261282,"Aber wir wissen auch, daß die Wander¬
armen ein Teil der großen Reservearmee der Arbeitslosen ist, aus der sich Industrie
und Handwerk das Arbeitermaterial holen.",Reservearmee,reservearmee
1906-07a,11096,1677317,"Er hat die industrielle Reservearmee und die Konkurrenz der
Arbeitermassen untereinander so nötig wie der Fisch das Wasser.",industriellen Reservearmee | Reservearmee,industriell reservearmee | reservearmee
1906-07a,16290,2438647,"Einen weiteren Grund findet der Rat in der Existenz einer großen Arbeiter¬
reservearmee, die ein sehr gefährliches Element bilde.",Reservearmee,reservearmee
1904-05a,2474,385116,"Durch die Aufzeigung der „gesellschaftlichen
Substanz"" der Ware,"" durch den Nachweis, daß es sich bei den scheinbar sach¬
lichen Beziehungen der Waren um menschliche Beziehungen, und zwar mensch¬
liche Beziehungen innerhalb eines ganz bestimmten Produktionsverhältnisses,
der warenproduzierenden Gesellschaft, handelt, also durch die Aufdeckung des
Fetischcharakters der Ware, war dann das Rätsel der Gesellschaft gelöst.",Fetischcharakter der Ware,fetischcharakter der ware
1904-05a,3391,531137,"150
schuf, die Engels die „Reservearmee der Arbeiter“ neunt.",Reservearmee,reservearmee
1904-05a,6626,1040898,"Er deutet das Ziel an, ohne über die Grenzen¬
der Wirkfamkeit einer solchen Iustitution int Verein mit der Fortdauer der kapita¬
listischen Produktionsordnung, die ihrer industriellen Reservearmee nicht entraten.",industriellen Reservearmee | Reservearmee,industriell reservearmee | reservearmee
1904-05a,9157,1420244,"Die ältere Kolonialpolitik bildete einen Be¬
ständteil der ursprünglichen Akkumulation des Kapitals;",Ursprünglichen Akkumulation,ursprünglich akkumulation
1904-05a,9733,1489451,"Die Nation wäre um alle physischen und geistigen Energien¬
reicher, die während des grundherrlichen Frondienstes, des absoluten Fürsten¬
tums und der ursprünglichen Akkumulation zugrunde gingen.",Ursprünglichen Akkumulation,ursprünglich akkumulation
1904-05a,18038,2727871,"Diese Zwangslage wird noch vermehrt dadurch, daß der Lohnarbeiter viele¬
sind, der Kapitalisten wenige, und daß die kapitalistische Produktionsweise eine
industrielle Reservearmee erzeugt, welche nach Arbeit um jeden Preis drängt
und die Konkurrenz unter den Lohnarbeitern aufs äußerste steigert.",industriellen Reservearmee | Reservearmee,industriell reservearmee | reservearmee
1904-05a,18040,2728205,"Sie sucht die Konkurrenz unter den
Arbeitern zu beseitigen, den Druck der Reservearmee auf die Löhne aufzuheben;",Reservearmee,reservearmee
1904-05a,18045,2729460,"Zunächst kann die Gewerkschaft im besten Falle für den Arbeiter nur jene
Nachteile beseitigen, welche die Konkurrenz mit seinen Kollegen und die indu¬
strielle Reservearmee für ihn schafft, nie aber jene, die daraus hervorgehen, daß
die Produktionsmittel, deren er bedarf, ohne die er nicht arbeiten und existieren¬
kann, im Besitz einer anderen Klasse sind, welche diesen Besitz dazu benutzt, ihm
auszubeuten.",Reservearmee,reservearmee
1904-05a,18052,2730633,"Am ehesten zur gewerkschaftlichen Organi¬
sation geeignet sind die qualifizierten Arbeiter, die aus technischen oder traditio¬
nellen Rücksichten eine längere Lehrzeit haben, die den Zuzug von Lehrlingen,
beschränken können, wo diese sich meist aus besser situierten Volksschichten,
rekrutieren, die allein die Mittel für die Lehrzeit erschwingen können und deren
Lebenshaltung dann auch die Ansprüche der ausgelernten Arbeiter bestimmt:
die von Frauen und Kindern keine Konkurrenz zu fürchten haben und auch
durch keine starke industrielle Reservearmee bedrängt werden.",industriellen Reservearmee | Reservearmee,industriell reservearmee | reservearmee
1897-98b,1907,268508,"Wir würden sehen, daß
diese sogenannte „ursprüngliche Akkumulation“ nichts Anderes bedeutet als¬
eine Reihe historischer Prozesse, deren Resultat eine Zersetzung der ursprünglich,
zwischen den Arbeitenden und ihren Arbeitsmitteln herrschenden Veretnigung
war.",Ursprünglichen Akkumulation,ursprünglich akkumulation
1897-98b,3558,504049,"Aus diesen Elementen werben sich die Rekruten,
unserer industriellen Reservearmee, die wahrlich viel zahlreicher ist als die irgende
eines der an der Spitze des kapitalistischen Fortschritts stehenden Länder.",industriellen Reservearmee | Reservearmee,industriell reservearmee | reservearmee
1897-98b,3568,505765,"Ihr Nährboden ist vielmehr zum großen Theile noch primi¬
tiver Natur, die soziale Atmosphäre, die sie athmet, ist barbarisch und kann als¬
diejenige der für die industriellen westlichen Staaten schon längst beendeten Epoche
der ursprünglichen Akkumulation bezeichnet werden.",Ursprünglichen Akkumulation,ursprünglich akkumulation
1897-98b,4362,617684,"Der Sohn dieses Ritters der
ursprünglichen Akkumulation hatte es noch weiter gebracht.",Ursprünglichen Akkumulation,ursprünglich akkumulation
1897-98b,4564,651853,"Und während über die Reservearmee des Kapitalismus die Arbeitslosen¬
zählungen des Jahres 1895 Auskunft geben, erfahren wir aus den Volks¬
zählungen einmal die thatsächliche Bevölkerungszunahme und zum Anderen durch
deren Differenz mit der natürlichen Bevölkerungszunahme, dem Geburtenüberschuß,
die Wanderungsergebnisse, ersehen hieraus die Zunahme oder Abnahme des
Austausches der Bevölkerung im Reiche.",Reservearmee,reservearmee
1900-01a,16733,2292118,"Nach¬
dem die ersten entschiedenen Schritte der Revolution von 1848 (der allgemeine
gesetzliche Arbeitstag von elf, für Paris zehn Stunden und das Verbot der
Marchandage — der Vergebung der Arbeiten an Zwischenunternehmer —) nach
der Niederwerfung der Arbeiterschaft wieder zunichte gemacht wurden, wird
die Arbeiterschutzgesetzgebung, obwohl schon in den vierziger Jahren fürchterliche
Ergebnisse der „ursprünglichen Akkumulation“ des Kapitalismus von bürgerlichen
Sozialpolitikern aufgedeckt waren, erst in der Mitte der siebziger Jahre auf¬
genommen.",Ursprünglichen Akkumulation,ursprünglich akkumulation
1897-98aCLEAN,8040,1137596,"die Vermehrung der Zahl der Arbeitslosen, das Füllen der Reservearmee —
alle
diese aus der „Naturnothwendigkeit“ und „Naturgesetzlichkeit"" des kapitalistischen
produktionsprozesses sich ergebenden sozialen Wirkungen spiegeln sich in dem An¬
wachsen der Stadt= und Landarmenzahl wieder;",Reservearmee,reservearmee
1897-98aCLEAN,11072,1531890,"Zu dem kommt die Betrachtung einer neuen „Reservearmee“ von Prole¬
tariern in der Gestalt der Eingeborenen, die vorläufig jedenfalls nichts von
modernen Klassenkämpfen wissen, um die widerspenstig werdenden Proletarier der
Kulturländer im Nothfall zu ersetzen.",Reservearmee,reservearmee
1897-98aCLEAN,13840,1947240,"Jedenfalls können die ermittelten Daten als Maßstab dienen, um die
industrielle Reservearmee des Malergewerbes nach ihrer Größe und ihrem nume¬
rischen Verhältniß zur aktiven Arbeiterschaft zu berechnen.",industriellen Reservearmee | Reservearmee,industriell reservearmee | reservearmee
1897-98aCLEAN,13860,1950224,"Man kann hier die Wirkung der Reservearmee ziffermäßig
beobachten.",Reservearmee,reservearmee
1896-97bCLEAN,2966,455358,"Und auch wo dies nicht deri
Full, wächst die Ausbeutung, wächst die Unsicherheit der Existenz, in Folge der Zu¬
nahme der industriellen Reservearmee.",industriellen Reservearmee | Reservearmee,industriell reservearmee | reservearmee
1896-97bCLEAN,11079,1615066,"Die große Zahl der beschäftigungslosen geistigen Proletarier,
„die Reservearmee der Kopfarbeit“, erklärt Lapenta indessen nur zum Theil aus dem,
starken Andrang mittelbürgerlicher Elemente zu den liberalen Berufen.",Reservearmee,reservearmee
1896-97bCLEAN,11090,1616856,"In einem Lande, wo auf
10000 Einwohner kaum mehr als sechs Aerzte kommen, wo das Analphabetenthutn
so erschreckend groß ist, wie in Italien, beweist die vorhandene starke Reservearmee,
von Proletariern der Kopfarbeit in erster Linie wohl eines: daß die heutige Gesell¬
schaft der Kopfarbeit wie der Handarbeit uur insoweit die Existenz verbürgt, als
sie als Handelsartikel kapitalistisch verwerthet werden kann.",Reservearmee,reservearmee
1897-98a,8000,1135290,"die Vermehrung der Zahl der Arbeitslosen, das Füllen der Reservearmee —
alle
diese aus der „Naturnothwendigkeit“ und „Naturgesetzlichkeit"" des kapitalistischen
produktionsprozesses sich ergebenden sozialen Wirkungen spiegeln sich in dem An¬
wachsen der Stadt= und Landarmenzahl wieder;",Reservearmee,reservearmee
