alignment_index,id2,series2,begin2,end2,s2_no_gaps,id,series,begin,end,s1_no_gaps,matches
11,page_604,mega,28,796," das Kolonialsystem zuerst völlig entwickelte, stand schon 1648 im Brennpunkt seiner Handelsgröße. Es war ""in fast ausschließlichem Besitz des ostindischen Handels und des Verkehrs zwi‐ schen dem europäischen Südwesten und Nordosten. Seine Fischereien, Seewesen, Manufakturen übertrafen die eines jeden anderen Landes. Die Kapitalien der Republik waren vielleicht bedeutender als die des übrigen Europa insgesammt."" Gülich vergißt hinzuzusetzen: Hollands Volksmasse war schon 1648 mehr überarbeitet, verarmter und brutaler unterdrückt als die des übrigen Europa's insgesammt. Das Kolonialsystem warf mit einem Schub und Bautz alle alten Götzen über Haufen. Es proklamirte die Plus‐ macherei als letzten und einzigen Zweck der Menschheit. Es war die Ge‐ burtsstätte des",1905-06b,dnz,2172899,2173682,"ere Nationen haben ihre Jahrbücher mit dieser ungeheuren Sündenschuld, doch nur belastet um kapitalistischer Lebensinteressen willen; es ist bekannt, eine wie entscheidende Rolle das Kolonialsystem bei der ursprünglichen Akku¬ mulation des Kapitals gespielt hat. Es reifte treibhausmäßig Handel und Schiffahrt, sicherte den aufschießenden Manufakturen die Absatzmärkte und eine durch das Marktmonopol potenzierte Akkumulation. Der außerhalb Europas, direkt durch Plünderung, Sklaverei und Raubmord erbeutete Schatz floß ins Mutterland zurück und verwandelte sich hier in Kapital. Das Kolouialsystem warf, wie Marx sagt, mit einem Schub und Bautz alle alten Götzen über den Haufen. Es proklamierte die Plusmacherei als einzigen und letzten Zweck der Menschheit. Mit alledem hat die de",174
12,page_636,mega,1928,2314,"aller Arbeiten, weil und insofern sie menschliche Arbeit überhaupt sind, kann nur entziffert werden, sobald der Begriff der menschlichen Gleichheit bereits die Festigkeit eines Volksvorurtheils besitzt. Das ist aber erst möglich in einer Gesellschaft, worin die Waarenform die allgemeine Form des Arbeitsprodukts ist, also auch das Verhältniß der Menschen zu einander als Waarenbesitzer",1896-97a,dnz,1818176,1818483,"er gleichgeltenden menschlichen Arbeit nur gebildet werden konnte, ""sobald der Begriff der menschlichen Gleichheit bereits die Festigkeit eines Volks¬ vorurtheils besitzt"", von vornherein nicht nur ökonomische, sondern im strengen Sinnte des Wortes filtliche Elemente im Begriff der gleichgeltenden Arbeit e",206
13,page_602,mega,0,426,"stenthum eine Specialität macht, W. Howitt: ""Die Barbareien und ruchlosen Greuelthaten der s. g. christlichen Racen, in jeder Region der Welt und gegen jedes Volk, das sie unterjochen konnten, finden keine Parallele in irgend einer Aera der Weltgeschichte, bei irgend einer Race, ob noch so wild, ungebildet, mitleidslos und schamlos""Kolonialwirthschaft ‒ und Holland war die kapitalistische Musternation des 17. Jahrhunderts ",1905-06b,dnz,2171432,2171833,"stentum seine Spezialität macht, sagt darüber: ""Die Barbareien und ruchlosen Greueltaten, der sogenannten christlichen Rassen, in jeder Region der Welt und gegen jedes Volk, das sie unterjochen konnten, finden keine Parallele in irgend einer Ara der Weltgeschichte, bei irgend einer Rasse, ob noch so wild, ungebildet, mitleidlos und schamlos."" Selbst ein Mann wie Treitschke wagte in seinen jüngeren ",347
14,page_049,mega,3532,3783," Es sagte, meine Ansicht, daß die bestimmte Produktionsweise und die ihr jedesmal entsprechenden Produktionsverhältnisse, kurz ""die ökonomische Struktur der Gesellschaft die reale Basis sei, worauf sich ein juristischer und politischer Ueberbau erhebe",1905-06b,dnz,795818,796017," es in der ""Kritik der politischen Okonomie"": ""Die Gesamtheit der Produktionsverhältnisse bildet die ökonomische Struktur der Gesellschaft, die reale Basis, worauf sich ein juristischer Uberbau erheb",156
15,page_112,mega,1125,1361," schaftlicher Arbeit, bleibt in der Hand desselben Waarenbesitzers ab‐ wechselnd in Gestalt seiner Waare, des Geldes, worin sie sich verwandelt, der Waare, worin sich dieß Geld rückverwandelt. Dieser Formwechsel schließt keine Aenderung",1896-97a,dnz,1734813,1735417," schaftlicher Arbeit die sozialistische Organisation der Gesellschaft"", Der Kongreß fand, daß die Frage der Frogrammänderung noch nicht spruchreif sei. Geib selbst beantragte Namens der Programmkommission, die Sache erst noch eiumal gründlich in Parteikreisen diskutiren zu lassen und auf¬ dem Kongreß des folgenden Jahres dann die endgiltige Entscheidung vorzunehmen. Er warnte davor"" heißt es im Kongreßbericht, ""in der Programmrefornt allzu¬ rasch, und weit zu gehen, da sonst vielfach Mißhelligkeiten unter den Partei¬ genossen entstehen könnten."" Andere Delegirte wollten überhaupt keine Aende¬ rung",47
16,page_193,mega,0,626,"während 12‐16 Stunden ihr Mittagsmahl ""verlieren zu lassen"", oder es ihnen zuzusetzen, wie man der Dampfmaschine Kohle und Wasser, der Wolle Seife, dem Rad Oel u. s. w. zusetzt, ‒ während des Produktionsprozesses selbst, als bloßen Hilfsstoff des Arbeitsmittels Kein Industriezweig in England ‒ (wir sehn von dem erst neuerdings sichbahnbrechenden Maschinenbrod ab) ‒ hat so alterthümliche, ja, wie man aus den Dichtern der römischen Kaiserzeit ersehn kann, vorchristliche Pro‐ duktionsweise bis heute beibehalten, als die Bäckerei. Aber das Kapital, wie früher bemerkt, ist zunächst gleichgültig gegen den technologischen Cha",1896-97a,dnz,1508188,1508737,"einen Fortschritt gegenüber dem. Kleinbetriebe und der Hausindustrie. Aber diese Entwicklung ist eine außerordentlich¬ kangsame und erstreckt sich fast ausschließlich auf die Schwarzbrotbäckeret, während¬ die Weißbrotbäckerei den kleinen und kleinsten Betrieben überlafsen bleibt. ""Kein Industriezweig"", sagt schon Marx,' ""hat eine so alterthümliche, ja, wie man aus den Dichtern der römischen Katferzeit ersehen kann, vorchristliche Produktionsweise bis heute beibehalten als die Bäckerei."" Nach wie vor geschieht die Zubereitung des wichtigsten Na",242
17,page_096,mega,137,1137,"Bei gewissem Höhegrad und Umfang der Waarenproduktion greift dieFunktion des Geldes als Zahlungsmittel über die Sphäre der Waarencir‐ culation hinaus. Es wird die allgemeine Waare der Contrakte Steuern u. s. w. verwandeln sich aus Naturallieferungen in Geldzahlungen. Wie sehr diese Umwandlung durch die Gesammtgestalt des Produktions‐ prozesses bedingt wird, beweist z. B. der zweimal gescheiterte Versuch des römischen Kaiserreichs alle Abgaben in Geld zu erheben. Das ungeheure Elend des französischen Landvolks unter Ludwig XIV., das Boisguillebert, Marschall Vauban u. s. w. so beredt denunciren, war nicht nur der Steuerhöhe geschuldet, sondern auch der Verwandlung von Naturalsteuer in Geldsteuerzugleich das Hauptelement der Staatssteuer, dort auf Produktionsverhält‐ nissen beruht, welche sich mit der Unwandelbarkeit von Naturverhältnissen reproduciren, erhält jene Zahlungsform rückwirkend die alte Produktions‐ form. Sie bildet eines der Selbsterhaltungsgeheimnisse des türkischen Reichs.",1896-97a,dnz,154875,155953,"Bet gewissem Höhegrad und Umfang der Waarenproduktion greift die Funktion des Geldes als Zahlungsmittel über die Sphäre der Waarenzirkulation hinaus. Es wird die allgeneine Waare der Kontrakte. Renten, Steuern u. s. w. ver¬ wandeln sich aus Naturallieferungen in Geldzahlungen. Wie sehr diese Um¬ wandlung durch die Gesammtgestalt des Produktionsprozefses bedingt wird, be¬ weist z. B. der zweimal gescheiterte Versuch des römischen Kaiserreichs, alle Ab¬ gaben in Geld zu erheben. Das ungeheure Elend des französischen Landvolts¬ unter Ludwig XIV., das Boisguillebert, Marschall Vauban u. s. w. so beredt denunziren, war nicht nur der Steuerhöhe geschuldet, sondern auch der Verwand¬ lung der Naturalsteuer in Geldsteuer. Wenn andererseits die Naturalform der Grundrente, in Asien zugleich das Hauptelement der Staatssteuer, dort auf Pro¬ duktionselementen beruht, welche sich mit der Umwandelbarkeit von Natural¬ verhältnissen reproduziren erhält jene Zahlungsform rückwirkend die alte Pro¬ duktionsform. Sie bildet eines der Selbsterhaltungsgeheimnisse des türkischen Reichs.",961
18,page_040,mega,114,449,"derselben Waare als Werthgrößen bespiegeln, wiederspiegeln sie sich wechselseitig als Werthgrößen. Aber die Naturalformen, die sie als Gebrauchsgegenstände besitzen, gelten ihnen wechselseitig nur auf diesem Umweg, also nicht unmittelbar als Erschei‐ nungsformen des Werths. Sowie sie unmittelbar sind, sind sie daher nicht unmittelbar",1905-06b,dnz,1566700,1566893,derselben Natur sind und zweitens sich wechsel¬ seitig und mit dem Naturganzen geradeso wie alle Gegensätze durchdringen. und damit einheitlich verbinden. Für ihn sind sie daher nicht solcherar,118
19,page_603,mega,2317,2591," Den aufschießenden Manufakturen sicherte die Kolonie Absatzmarkt und eine durch das Marktmonopol potenzirte Accumulation. Der außerhalb Europa direkt erplünderte, herausgesklavte und heraus‐ gemordete Schatz floß ins Mutterland zurück und verwandelte sich hier 243) Im Jahr",1905-06b,dnz,2173218,2173472," den aufschießenden Manufakturen die Absatzmärkte und eine durch das Marktmonopol potenzierte Akkumulation. Der außerhalb Europas, direkt durch Plünderung, Sklaverei und Raubmord erbeutete Schatz floß ins Mutterland zurück und verwandelte sich hier in Ka",223
20,page_323,mega,30,156,der Glieder anzuwenden. Weiber‐ und Kinderarbeit war daher das erste Wort der kapitalistischen Anwendung der Maschinerie! Dieß,1905-06a,dnz,2290385,2290507,"er Natur zu ziehen. ""Weiber¬ und Kinderarbeit"" sagt Deutsch, ""war das erste Wort der kapitaliftischen An¬ Wohlmeinende Fre",79
21,page_445,mega,1207,1523,"geschenkt werden. Dieß ist der erste Schritt, wozu die Konkurrenz treibt. Der zweite Schritt, wozu sie zwingt, ist wenigstens einen Theil des durch die Verlängerung des Arbeitstags erzeugten anormalen Mehrwerths ebenfalls aus dem Verkaufspreis der Waare zu eliminiren. In dieser Weise bildet sich erst sporadisch und",1905-06a,dnz,1471607,1472254,"schen Dorfkommunismus¬ der erste Schritt zur Durchführung des modernen Sozialismus ausgehen werde. Engels verlachte schon 1874 jene russischen Sozialisten, die da vermeinten, wegen seines Dorfkommunismus stehe der russische Bauer dem Sozialismus näher¬ als das Proletariat der Großindustrie. Er wendete sich gegen die Ansicht, die nächste, damals erwartete, russische Revolution ""werde eine sozialistische sein, sie werde die vom westeuropäischen Sozialismus erstrebte Gesellschaftsform¬ in Rußland einführen, noch ehe wir im Westen dazu gelangen — und das bei Gesellschaftszuständen, wo Proletariat wie Bourgeoisie (18741) nur erst sporadisch und",65
22,page_456,mega,1066,1499," Die realen Bedingungen der Reproduktion, d. h. der kontinuirlichen Produktion, erscheinen theils erst innerhalb der Cirkulation, theils können sie erst nach der Analyse des Cirkulationsprozesses behandelt werden. Das ist jedoch nicht alles. Der Kapitalist, der den Mehrwerth producirt, d. h. unbezahlte Arbeit unmittelbar aus den Arbeitern auspumpt und in Waaren fixirt, ist zwar der erste Aneigner, aber keineswegs der letzte Eigen",1905-06a,dnz,2963498,2963932," er aus einem abstrakten, begrifflichen Dasein in die Wirklichkeit. ""Erst. innerhalb des Austausches erhalten die Arbeitsprodukte eine von ihrer sinnlich verschiedenen Gebrauchsgegenständlichkeit getrennte gesellschaftlich gleiche Wert¬ gegenständlichkeit"" (Marx' ""Kapital"", I). Wenn der gesellschaftliche Charakter der Arbeit unmittelbar jedem sichtbar ist, braucht er sich nicht in der phantasmagorischen Form einer dinglichen Eigen",80
23,page_327,mega,933,1258,"erinnere. Die intel‐ lektuelle Verödung aber, künstlich producirt durch die Verwandlung unreifer Menschen in bloße Maschinen zum Fabrikat von Mehrwerth, und sehr zu unterscheiden von jener naturwüchsigen Unwissenheit, welche den Geist in Brache legt ohne Verderb seiner Entwicklungsfähigkeit, seiner natürlichen Fruchtbarkeit",1905-06a,dnz,2113729,2114038,"enn die intellektuelle Verödung, künstlich produziert durch die Verwandlung unreifer Menschen in bloße Maschinen zur Mehrwertproduktion, ist sehr zu unterscheiden von jener natur¬ wüchsigen Unwissenheit, welche den Geist brach liegen läßt, ohne seine Ent¬ wicklungsfähigkeit und seine natürliche Fruchtbarkeit",268
24,page_525,mega,907,1614,"Rede, worin er sein Budget vorlegt: ""Von 1842 bis 1852 wuchs das besteuerbare Einkommen dieses Landes um 6 % ... In den 8 Jahren von 1853 bis 1861 wuchs es, wenn wir von der Basis von 1853 ausgehn, um 20 %. Die Thatsache ist so erstaunlich, daß sie beinahe unglaublich ist ... Diese be‐ rauschende Vermehrung von Reichthum und Macht ist ganz und gar auf die Klassen des Eigenthums beschränkt, aber ... aber, sie muß von indirektem Vortheil für die Arbeiterbevölkerung sein, weil sie die Artikel der all‐ gemeinen Konsumtion verwohlfeilert ‒ während die Reichen reicher, sind die Armen jedenfalls weniger arm geworden. Daß die Extreme der Armuth sich vermindert haben, wage ich nicht zu sagen"" 100) In diesem",1905-06a,dnz,2769692,2770232,"rt, in den acht Jahren 1853 bis 1861 hat es im Verhältnis zum Einkommen des Jahres 1853 um 20 Prozent zugenommen. Diese Tatsache ist so¬ staunenswert, daß sie beinahe unglaublich ist. ... Diese berauschende Ver¬ mehrung von Reichtum und Macht', fügt Herr Gladstone hinzu, ist ganz und gar auf die besitzenden Klassen beschränkt. Heute finden wir in den Vereinigten Staaten eine noch weit berauschendere Vermehrung von Reichtum und Macht — nach der Zunahme des industriellen Kapitals gemessen eine Vermehrung von mehr als 50 Prozent in einem",298
25,page_502,mega,758,1867," Der Grund ist einfach der, daß mit der wachsenden Pro‐ duktivität der Arbeit nicht nur der Umfang der von ihr vernutzten Pro‐ duktionsmittel steigt, sondern deren Werth, verglichen mit ihrem Umfang, fällt. Ihr Werth steigt also absolut, aber nicht proportionell mit ihrem Umfang. Das Wachsthum der Differenz zwischen constantem und variablem Kapitaltheil ist daher viel kleiner als das der Differenz zwischen der Masse der Produktionsmittel, worin das constante, und der Masse Arbeitskraft, worin das variable Kapital umgesetzt wird. Die erstere Differenz nimmt zu mit der letzteren, aber in viel geringerem Grad. Es giebt andre Umstände, welche das Verhältniß zwischen Werth der Produktionsmittel und Werth der sie bewegenden Arbeitskraft von dem technologischen Verhältniß ihrer Massen abweichen machen. Diese modificirenden Umstände können wir erst im Dritten Buch betrachten. Die Rücksichtnahme darauf ist hier aber auch überflüssig, da die Abnahme des variablen Kapitaltheils gegen den constanten im Großen und Ganzen, wenn auch nur andeutungs‐ weise, die Zunahme der von derselben Masse Arbeitskraft in",1905-06a,dnz,2306803,2307579," des Geldlohns. Aber die Steigerung der Ergiebigkeit der Arbeit geschieht in der kapitalistischen Produktionsweise durch eine Veränderung der organischen Zusammensetzung des Kapitals. Ein größerer Teil des Kapitals¬ wird zu konstantem, ein geringerer zu variablem Kapital. Da wir einfache Reproduktion angenommen, also Akkumulation ausgeschlossen haben, erscheint, das variable Kapital nicht nur relativ, sondern absolut verringert. Solange die Geldlöhne unverändert bleiben, kann das kleinere, variable Kapital auch nur eine kleinere Arbeiterzahl beschäftigen. Es entsteht daher eine industrielle Reservearmee. Die freigesetzten Arbeiter können sich aber — bei Strafe des¬ Hungertods — nicht dauernd von der Produktion ausschließen lassen. Sie bieten daher ihre Arbeitskraft ",278
26,page_527,mega,1845,2196," während der letzten zwei Jahre so laut schrie, ist alten Datums. F. Engels konstatirt 1844 ganz dieselben Greuel und ganz dasselbe vorübergehende, zur ""Sen sationliteratur"" gehörige Geschrei. Aber die furchtbare Zu‐ nahme des Hungertods (""deaths by starvation"") in London, während des letzten Decenniums, beweist unbedingt den zunehmenden Abscheu der",1905-06a,dnz,2214902,2215261," während der letzten zwei Jahre stetig an Stärke abgenommen hat. Noch wichtiger ist, daß beinahe jeder große Streik verloren gegangen ist, und an vielen Stellen sind, die Löhne zurückgegangen. In der Tat hat ein kürzlich herausgegebener Bericht¬ des bundesstaatlichen Arbeitsamts mitgeteilt, daß die Löhne während des letzten Jahres niedriger geworden sind. D",83
27,page_609,mega,1561,1827,"Arbeit. Mit der beständig abnehmenden Zahl der Kapitalmagnaten, welche alle Vortheile dieses Umwandlungsprozesses usurpiren und monopolisiren, wächst die Masse des Elends, des Drucks, der Knechtung, der Degradation, der Aus‐ beutung, aber auch die Empörung der stets",1896-97b,dnz,453856,454137,"armee. ""Mit der beständig abnehmenden Zahl der Kapitalmagnaten"", heißt es im ""Kapital"", ""welche alle Vortheile dieses Umwandlungs¬ prozesses usurpiren und monopolisiren, wächst die Masse des Elends, des Druckes, der Knechtung, der Degradation, der Ausbeutung"". Fast dieselben Worte",236
28,page_130,mega,1369,2022," das im Urwald gefällt, das Erz, das aus seiner Ader losgebrochen wird. Ist der Arbeitsgegenstand dagegen selbst schon sozusagen durch frühere Arbeit filtrirt, so nennen wir ihn Rohmaterial. Z. B. das bereits losgebrochene Erz, das nun ausge‐ waschen wird. Alles Rohmaterial ist Arbeitsgegenstand, aber nicht jeder Arbeitsgegenstand ist Rohmaterial. Rohmaterial ist der Arbeitsgegenstand nur, sobald er bereits eine durch Arbeit vermittelte Veränderung erfahren hat. Das Arbeitsmittel ist ein Ding oder ein Komplex von Dingen, die derArbeiter zwischen sich und den Arbeitsgegenstand schiebt und die ihm als Leiter seiner Thätigkeit auf diesen Gegenstand",1905-06a,dnz,2295884,2296402," das Produkt der Arbeit des Ausbilders, sondern der Kon¬ sument seiner Ware. Die qualifizierte Arbeitskraft ist nicht das Produkt der Arbeit des Ausbilders, sondern der eigenen Arbeit des Schülers, die er währende der Ausbildungszeit leistet. Der Unterricht, das Produkt der Arbeit des Aus¬ bilders, ist dabei nur das Arbeitsmittel, dessen sich der Schüler bedient. ""Die Arbeitskraft des Schülers wirkt mit dem Arbeitsmittel Unterricht auf den Arbeitsgegenstand Gehirn, Nerv und Muskel des Schülers ein, um den Ge¬ bra",217
