sent_id,file,sent_index,text,page_number,section_type,line_number
Das_Kapital_MEGA_A2_B005-00_ETX.xml:23,Das_Kapital_MEGA_A2_B005-00_ETX.xml,23,B. Cirkulationsmittel 63,9,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:24,Das_Kapital_MEGA_A2_B005-00_ETX.xml,24,a) Die Metamorphose der Waaren 63,9,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:25,Das_Kapital_MEGA_A2_B005-00_ETX.xml,25,b) Der Umlauf des Geldes 74,9,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:26,Das_Kapital_MEGA_A2_B005-00_ETX.xml,26,c) Die Münze.,9,text,13
Das_Kapital_MEGA_A2_B005-00_ETX.xml:27,Das_Kapital_MEGA_A2_B005-00_ETX.xml,27,Das Werthzeichen 85,9,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:28,Das_Kapital_MEGA_A2_B005-00_ETX.xml,28,C. Geld 91,9,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:29,Das_Kapital_MEGA_A2_B005-00_ETX.xml,29,a) Schatzbildung 91,9,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:30,Das_Kapital_MEGA_A2_B005-00_ETX.xml,30,b) Zahlungsmittel 96,9,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:31,Das_Kapital_MEGA_A2_B005-00_ETX.xml,31,c) Weltgeld 103,9,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:32,Das_Kapital_MEGA_A2_B005-00_ETX.xml,32,Zweites Kapitel.,9,text,18
Das_Kapital_MEGA_A2_B005-00_ETX.xml:33,Das_Kapital_MEGA_A2_B005-00_ETX.xml,33,Die Verwandlung von Geld in Kapital  106,9,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:34,Das_Kapital_MEGA_A2_B005-00_ETX.xml,34,1) Die allgemeine Formel des Kapitals 106,9,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:35,Das_Kapital_MEGA_A2_B005-00_ETX.xml,35,2) Widersprüche der allgemeinen Formel 117,9,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:36,Das_Kapital_MEGA_A2_B005-00_ETX.xml,36,3) Kauf und Verkauf der Arbeitskraft 129,9,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:37,Das_Kapital_MEGA_A2_B005-00_ETX.xml,37,Drittes Kapitel.,9,text,22
Das_Kapital_MEGA_A2_B005-00_ETX.xml:38,Das_Kapital_MEGA_A2_B005-00_ETX.xml,38,Die Produktion des absoluten Mehrwerths 141,9,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:39,Das_Kapital_MEGA_A2_B005-00_ETX.xml,39,1) Arbeitsprozeß und Verwerthungsprozeß 141,9,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:40,Das_Kapital_MEGA_A2_B005-00_ETX.xml,40,2) Constantes Kapital und variables Kapital 165,9,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:41,Das_Kapital_MEGA_A2_B005-00_ETX.xml,41,3) Die Rate des Mehrwerths 178,9,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:42,Das_Kapital_MEGA_A2_B005-00_ETX.xml,42,4) Der Arbeitstag 198,9,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:43,Das_Kapital_MEGA_A2_B005-00_ETX.xml,43,5) Rate und Masse des Mehrwerths 281,9,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:44,Das_Kapital_MEGA_A2_B005-00_ETX.xml,44,Seite,10,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:45,Das_Kapital_MEGA_A2_B005-00_ETX.xml,45,Viertes Kapitel.,10,text,2
Das_Kapital_MEGA_A2_B005-00_ETX.xml:46,Das_Kapital_MEGA_A2_B005-00_ETX.xml,46,Die Produktion des relativen Mehrwerths 291,10,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:47,Das_Kapital_MEGA_A2_B005-00_ETX.xml,47,1) Begriff des relativen Mehrwerths 291,10,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:48,Das_Kapital_MEGA_A2_B005-00_ETX.xml,48,2) Cooperation 302,10,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:49,Das_Kapital_MEGA_A2_B005-00_ETX.xml,49,3) Theilung der Arbeit und Manufaktur 318,10,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:50,Das_Kapital_MEGA_A2_B005-00_ETX.xml,50,4) Maschinerie und große Industrie 355,10,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:51,Das_Kapital_MEGA_A2_B005-00_ETX.xml,51,Fünftes Kapitel.,10,text,7
Das_Kapital_MEGA_A2_B005-00_ETX.xml:52,Das_Kapital_MEGA_A2_B005-00_ETX.xml,52,Weitere Untersuchungen über die Produktion,10,text,7
Das_Kapital_MEGA_A2_B005-00_ETX.xml:53,Das_Kapital_MEGA_A2_B005-00_ETX.xml,53,des absoluten und relativen Mehrwerths 496,10,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:54,Das_Kapital_MEGA_A2_B005-00_ETX.xml,54,1) Absoluter und relativer Mehrwerth 496,10,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:55,Das_Kapital_MEGA_A2_B005-00_ETX.xml,55,2) Größenwechsel von Preis der Arbeitskraft und Mehrwerth 505,10,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:56,Das_Kapital_MEGA_A2_B005-00_ETX.xml,56,"A. Größe des Arbeitstags und Intensivität der Arbeit constant,",10,text,11
Das_Kapital_MEGA_A2_B005-00_ETX.xml:57,Das_Kapital_MEGA_A2_B005-00_ETX.xml,57,Produktivkraft der Arbeit variabel 506,10,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:58,Das_Kapital_MEGA_A2_B005-00_ETX.xml,58,"B. Constanter Arbeitstag, constante Produktivkraft der Arbeit,",10,text,13
Das_Kapital_MEGA_A2_B005-00_ETX.xml:59,Das_Kapital_MEGA_A2_B005-00_ETX.xml,59,Intensivität der Arbeit variabel 510,10,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:60,Das_Kapital_MEGA_A2_B005-00_ETX.xml,60,"C. Produktivkraft und Intensivität der Arbeit constant, Ar-",10,text,15
Das_Kapital_MEGA_A2_B005-00_ETX.xml:61,Das_Kapital_MEGA_A2_B005-00_ETX.xml,61,beitstag variabel 511,10,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:62,Das_Kapital_MEGA_A2_B005-00_ETX.xml,62,"D. Gleichzeitige Variationen in Länge des Arbeitstags, Produk-",10,text,17
Das_Kapital_MEGA_A2_B005-00_ETX.xml:63,Das_Kapital_MEGA_A2_B005-00_ETX.xml,63,tivkraft und Intensivität der Arbeit 513,10,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:64,Das_Kapital_MEGA_A2_B005-00_ETX.xml,64,3) Verschiedene Formeln für die Rate des Mehrwerths 516,10,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:65,Das_Kapital_MEGA_A2_B005-00_ETX.xml,65,"4) Werth, resp.",10,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:66,Das_Kapital_MEGA_A2_B005-00_ETX.xml,66,Preis der Arbeitskraft in der verwandelten Form,10,text,20
Das_Kapital_MEGA_A2_B005-00_ETX.xml:67,Das_Kapital_MEGA_A2_B005-00_ETX.xml,67,des Arbeitslohns 520,10,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:68,Das_Kapital_MEGA_A2_B005-00_ETX.xml,68,a) Die Formverwandlung 520,10,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:69,Das_Kapital_MEGA_A2_B005-00_ETX.xml,69,b) Die beiden Grundformen des Arbeitslohns: Zeitlohn und,10,text,23
Das_Kapital_MEGA_A2_B005-00_ETX.xml:70,Das_Kapital_MEGA_A2_B005-00_ETX.xml,70,Stücklohn 529,10,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:71,Das_Kapital_MEGA_A2_B005-00_ETX.xml,71,Sechstes Kapitel.,10,text,25
Das_Kapital_MEGA_A2_B005-00_ETX.xml:72,Das_Kapital_MEGA_A2_B005-00_ETX.xml,72,Der Accumulationsprozeß des Kapitals 551,10,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:73,Das_Kapital_MEGA_A2_B005-00_ETX.xml,73,1) Die kapitalistische Accumulation 552,10,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:74,Das_Kapital_MEGA_A2_B005-00_ETX.xml,74,a) Einfache Reproduktion 552,10,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:75,Das_Kapital_MEGA_A2_B005-00_ETX.xml,75,b) Verwandlung von Mehrwerth in Kapital 567,10,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:76,Das_Kapital_MEGA_A2_B005-00_ETX.xml,76,c) Das allgemeine Gesetz der kapitalistischen Accumulation 599,10,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:77,Das_Kapital_MEGA_A2_B005-00_ETX.xml,77,2) Die s. g. ursprüngliche Accumulation 699,10,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:78,Das_Kapital_MEGA_A2_B005-00_ETX.xml,78,3) Die moderne Kolonisationstheorie 745,10,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:79,Das_Kapital_MEGA_A2_B005-00_ETX.xml,79,Nachtrag zu den Noten 757,10,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:80,Das_Kapital_MEGA_A2_B005-00_ETX.xml,80,"Anhang zu Kapitel I, 1.",10,text,33
Das_Kapital_MEGA_A2_B005-00_ETX.xml:81,Das_Kapital_MEGA_A2_B005-00_ETX.xml,81,Die Werthform 764,10,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:82,Das_Kapital_MEGA_A2_B005-00_ETX.xml,82,Vorwort.,11,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:83,Das_Kapital_MEGA_A2_B005-00_ETX.xml,83,"Das Werk, dessen ersten Band ich dem Publikum übergebe, bildet die Fortsetzung meiner 1859 veröffentlichten Schrift: „Zur Kritik der poli- tischen Oekonomie “.",11,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:84,Das_Kapital_MEGA_A2_B005-00_ETX.xml,84,"Die lange Pause zwischen Anfang und Fortsetzung ist einer langjährigen Krankheit geschuldet, die meine Arbeit wieder und wieder unterbrach.",11,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:85,Das_Kapital_MEGA_A2_B005-00_ETX.xml,85,Der Inhalt jener früheren Schrift ist resümirt im ersten Kapitel dieses Bandes.,11,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:86,Das_Kapital_MEGA_A2_B005-00_ETX.xml,86,Es geschah dieß nicht nur des Zusammenhangs und der Voll- ständigkeit wegen.,11,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:87,Das_Kapital_MEGA_A2_B005-00_ETX.xml,87,Die Darstellung ist verbessert.,11,text,9
Das_Kapital_MEGA_A2_B005-00_ETX.xml:88,Das_Kapital_MEGA_A2_B005-00_ETX.xml,88,"Soweit es der Sachverhalt irgendwie erlaubte, sind viele früher nur angedeutete Punkte hier weiter entwickelt, während umgekehrt dort ausführlich Entwickeltes hier nur angedeutet wird.",11,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:89,Das_Kapital_MEGA_A2_B005-00_ETX.xml,89,Die Abschnitte über die Geschichte der Werth- und Geld- theorie  fallen jetzt natürlich ganz weg.,11,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:90,Das_Kapital_MEGA_A2_B005-00_ETX.xml,90,Jedoch findet der Leser der früheren Schrift in den Noten zum ersten Kapitel neue Quellen zur Geschichte jener Theorie eröffnet.,11,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:91,Das_Kapital_MEGA_A2_B005-00_ETX.xml,91,"Aller Anfang ist schwer, gilt in jeder Wissenschaft.",11,text,16
Das_Kapital_MEGA_A2_B005-00_ETX.xml:92,Das_Kapital_MEGA_A2_B005-00_ETX.xml,92,Das Verständniß des,11,text,16
Das_Kapital_MEGA_A2_B005-00_ETX.xml:93,Das_Kapital_MEGA_A2_B005-00_ETX.xml,93,"ersten Kapitels, namentlich des Abschnitts, der die Analyse der Waare enthält, wird daher die meiste Schwierigkeit machen.",11,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:94,Das_Kapital_MEGA_A2_B005-00_ETX.xml,94,Was nun näher die,11,text,18
Das_Kapital_MEGA_A2_B005-00_ETX.xml:95,Das_Kapital_MEGA_A2_B005-00_ETX.xml,95,"Analyse der Werthsubstanz und der Werthgröße betrifft, so habe ich   sie möglichst popularisirt",11,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:96,Das_Kapital_MEGA_A2_B005-00_ETX.xml,96,Werthform.,11,text,21
Das_Kapital_MEGA_A2_B005-00_ETX.xml:97,Das_Kapital_MEGA_A2_B005-00_ETX.xml,97,"Sie ist schwerverständlich, weil die Dialektik viel schärfer ist",11,text,21
Das_Kapital_MEGA_A2_B005-00_ETX.xml:98,Das_Kapital_MEGA_A2_B005-00_ETX.xml,98,"1) Es schien dieß um so nöthiger, als selbst der Abschnitt von F.",11,footnote,22
Das_Kapital_MEGA_A2_B005-00_ETX.xml:99,Das_Kapital_MEGA_A2_B005-00_ETX.xml,99,"Lassalle's Schrift gegen Schultze-Delitzsch, worin er „die geistige Quintessenz“ meiner Entwicklung über jene Themata zu geben erklärt, bedeutende Mißverständnisse enthält.",11,footnote,22
Das_Kapital_MEGA_A2_B005-00_ETX.xml:100,Das_Kapital_MEGA_A2_B005-00_ETX.xml,100,En passant.,11,footnote,22
Das_Kapital_MEGA_A2_B005-00_ETX.xml:101,Das_Kapital_MEGA_A2_B005-00_ETX.xml,101,"Wenn F. Lassalle die sämmtlichen allgemeinen theoretischen Sätze seiner ökonomischen Arbeiten, z.",11,footnote,22
Das_Kapital_MEGA_A2_B005-00_ETX.xml:102,Das_Kapital_MEGA_A2_B005-00_ETX.xml,102,"B. über den historischen Charakter des Kapitals, über den Zusammenhang zwischen Produktionsverhält- nissen und Produktionsweise u. s. w. u. s. w. fast wörtlich, bis auf die von mir geschaffene Terminologie hinab, aus meinen Schriften entlehnt hat, und zwar ohne Quellenangabe, so war dieß Verfahren wohl durch Propagandarücksichten bestimmt.",11,footnote,22
Das_Kapital_MEGA_A2_B005-00_ETX.xml:103,Das_Kapital_MEGA_A2_B005-00_ETX.xml,103,"Ich spreche natürlich nicht von seinen Detailausführungen und Nutzanwendungen, mit denen ich nichts zu thun habe.",11,footnote,22
Das_Kapital_MEGA_A2_B005-00_ETX.xml:104,Das_Kapital_MEGA_A2_B005-00_ETX.xml,104,als in der ersten Darstellung.,12,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:105,Das_Kapital_MEGA_A2_B005-00_ETX.xml,105,"Ich rathe daher dem nicht durchaus in dia- lektisches Denken eingewohnten Leser, den Abschnitt von p.",12,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:106,Das_Kapital_MEGA_A2_B005-00_ETX.xml,106,15 (Zeile 19 von oben) bis Ende p.,12,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:107,Das_Kapital_MEGA_A2_B005-00_ETX.xml,107,"34 ganz zu überschlagen, und statt dessen den dem Buch zugefügten Anhang: „Die Werthform“ zu lesen.",12,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:108,Das_Kapital_MEGA_A2_B005-00_ETX.xml,108,"Dort wird versucht, die Sache so einfach und selbst so schulmeisterlich darzustellen, als ihre wissenschaftliche Fassung erlaubt.",12,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:109,Das_Kapital_MEGA_A2_B005-00_ETX.xml,109,Nach Beendigung des Anhangs kann der Leser dann im Text wieder fortfahren mit p.,12,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:110,Das_Kapital_MEGA_A2_B005-00_ETX.xml,110,"35.    Die Werthform, deren fertige Gestalt die Geldform, ist sehr inhaltslos und einfach.",12,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:111,Das_Kapital_MEGA_A2_B005-00_ETX.xml,111,"Dennoch hat der Menschengeist sie seit mehr als 2000 Jahren ver- geblich zu ergründen gesucht, während andrerseits die Analyse viel inhalts- vollerer und komplicirterer Formen wenigstens annähernd gelang.",12,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:112,Das_Kapital_MEGA_A2_B005-00_ETX.xml,112,Warum?,12,text,11
Das_Kapital_MEGA_A2_B005-00_ETX.xml:113,Das_Kapital_MEGA_A2_B005-00_ETX.xml,113,Weil der ausgebildete Körper leichter zu studiren ist als die Körperzelle.,12,text,12
Das_Kapital_MEGA_A2_B005-00_ETX.xml:114,Das_Kapital_MEGA_A2_B005-00_ETX.xml,114,"Bei der Analyse der ökonomischen Formen kann außerdem weder das Mikro- skop dienen, noch chemische Reagentien.",12,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:115,Das_Kapital_MEGA_A2_B005-00_ETX.xml,115,Die Abstraktionskraft muß beide ersetzen.,12,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:116,Das_Kapital_MEGA_A2_B005-00_ETX.xml,116,Für die bürgerliche Gesellschaft ist aber die Waarenform des Arbeitsprodukts oder die Werthform der Waare die ökonomische Zellen- form . Dem Ungebildeten scheint sich ihre Analyse in bloßen Spitzfindig- keiten  herumzutreiben.,12,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:117,Das_Kapital_MEGA_A2_B005-00_ETX.xml,117,"Es handelt sich dabei   in der That um Spitz- findigkeiten,  aber nur so wie es sich in der mikrologischen Anatomie darum handelt.",12,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:118,Das_Kapital_MEGA_A2_B005-00_ETX.xml,118,Mit Ausnahme des Abschnitts über die Werthform wird man daher dieß Buch nicht wegen Schwerverständlichkeit anklagen können.,12,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:119,Das_Kapital_MEGA_A2_B005-00_ETX.xml,119,"Ich unterstelle natürlich Leser, die etwas Neues lernen, also auch selbst denken wollen.",12,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:120,Das_Kapital_MEGA_A2_B005-00_ETX.xml,120,"Der Physiker beobachtet Naturprozesse entweder dort, wo sie in der prägnantesten Form und von störenden Einflüssen mindest getrübt er- scheinen, oder, wo möglich, macht er Experimente unter Bedingungen, welche den reinen Vorgang des Prozesses sichern.",12,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:121,Das_Kapital_MEGA_A2_B005-00_ETX.xml,121,"Was ich in diesem Werk zu erforschen habe, ist die kapitalistische Produktionsweise und die ihr entsprechenden Produktions- und Verkehrsverhältnisse.",12,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:122,Das_Kapital_MEGA_A2_B005-00_ETX.xml,122,Ihre klassische Stätte ist bis jetzt England.,12,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:123,Das_Kapital_MEGA_A2_B005-00_ETX.xml,123,"Dieß der Grund, warum es zur Hauptillustration meiner theoretischen Entwicklung dient.",12,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:124,Das_Kapital_MEGA_A2_B005-00_ETX.xml,124,"Sollte jedoch der deutsche Leser pharisäisch die Achseln zucken über die Zustände der englischen Industrie- und Ackerbauarbeiter, oder sich optimistisch dabei beruhigen, daß in Deutschland die Sachen noch lange nicht so schlimm stehn, so muß ich ihm zurufen: De te fabula narratur!",12,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:125,Das_Kapital_MEGA_A2_B005-00_ETX.xml,125,"An und für sich handelt es sich nicht um den höheren oder niedrigeren Entwicklungsgrad der gesellschaftlichen Antagonismen, welche aus den Naturgesetzen der kapitalistischen Produktion entspringen.",12,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:126,Das_Kapital_MEGA_A2_B005-00_ETX.xml,126,"Es handelt sich um diese Gesetze selbst, um diese mit eherner Nothwendigkeit wirkenden und sich durchsetzenden Tendenzen.",12,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:127,Das_Kapital_MEGA_A2_B005-00_ETX.xml,127,Das industriell entwickeltere Land zeigt dem minder entwickelten nur das Bild der eignen Zukunft!,12,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:128,Das_Kapital_MEGA_A2_B005-00_ETX.xml,128,Aber abgesehn hiervon.,13,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:129,Das_Kapital_MEGA_A2_B005-00_ETX.xml,129,"Wo die kapitalistische Produktion völlig bei uns eingebürgert ist, z.",13,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:130,Das_Kapital_MEGA_A2_B005-00_ETX.xml,130,"B. in den eigentlichen Fabriken, sind die Zustände viel schlechter  als in England, weil das Gegengewicht der Fabrikgesetze fehlt.",13,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:131,Das_Kapital_MEGA_A2_B005-00_ETX.xml,131,"In allen andren Sphären quält uns, gleich dem ganzen übrigen kontinentalen Westeuropa, nicht nur die Entwicklung der kapitalistischen Produktion, sondern auch der Mangel ihrer Entwicklung.",13,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:132,Das_Kapital_MEGA_A2_B005-00_ETX.xml,132,"Neben den modernen Nothständen drückt uns eine ganze Reihe vererbter Nothstände, ent- springend aus der Fortvegetation alterthümlicher,   überlebter Produk- tionsweisen mit ihrem Gefolg von zeitwidrigen gesellschaftlichen und poli- tischen Verhältnissen.",13,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:133,Das_Kapital_MEGA_A2_B005-00_ETX.xml,133,"Wir leiden nicht nur von den Lebenden, sondern auch von den Todten.",13,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:134,Das_Kapital_MEGA_A2_B005-00_ETX.xml,134,Le mort saisit le vif!,13,text,11
Das_Kapital_MEGA_A2_B005-00_ETX.xml:135,Das_Kapital_MEGA_A2_B005-00_ETX.xml,135,Im Vergleich zur englischen ist die sociale Statistik Deutschlands und des übrigen kontinentalen Westeuropa's elend.,13,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:136,Das_Kapital_MEGA_A2_B005-00_ETX.xml,136,"Dennoch lüftet sie den Schleier grade genug, um hinter demselben ein Medusenhaupt ahnen zu lassen.",13,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:137,Das_Kapital_MEGA_A2_B005-00_ETX.xml,137,"Wir würden vor unsren eignen Zuständen erschrecken, wenn unsre Regierungen und Parlamente, wie in England, periodische Untersuchungskommissionen über die ökonomischen Verhältnisse bestallten, wenn diese Kommissionen mit derselben Machtvollkommenheit, wie in England, zur Erforschung der Wahrheit ausgerüstet würden, wenn es gelänge, zu diesem Behuf ebenso sachverständige, unparteiische und rücksichtslose Männer zu finden, wie die Fabrikinspektoren Englands sind, seine ärztlichen Berichterstatter über „Public Health“ (Oeffentliche Gesundheit), seine Untersuchungskommis- säre über die Exploitation der Weiber und Kinder, über Wohnungs- und Nahrungszustände u. s. w. Perseus brauchte eine Nebelkappe zur Verfolgung von Ungeheuern.",13,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:138,Das_Kapital_MEGA_A2_B005-00_ETX.xml,138,"Wir ziehen die Nebelkappe tief über Aug' und Ohr, um die Existenz der Ungeheuer wegläugnen zu können.",13,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:139,Das_Kapital_MEGA_A2_B005-00_ETX.xml,139,Man muß sich nicht darüber täuschen.,13,text,27
Das_Kapital_MEGA_A2_B005-00_ETX.xml:140,Das_Kapital_MEGA_A2_B005-00_ETX.xml,140,Wie der amerikanische Un- abhängigkeitskrieg des 18.,13,text,1
