sent_id,file,sent_idx,char_idx,sentence,phrases,lem_phrases,sent_start,sent_end,kapital_candidate,manifest_candidate,anno_uuid,anno_start,anno_end,anno_text,anno_mentions_kapital,anno_mentions_manifest,flair_ner_spans,flair_contains_band,flair_contains_kapital,flair_contains_manifest
1897-98aCLEAN:948,1897-98aCLEAN,948,144020,"glaubt, man opfere die Jugend dem Moloch Kapital, wenn man ihr nicht die
Thore der Fabrik verschließt.",Kapital,kapital,144020,144122,true,false,N/A,,,,No,No,"MISC : ""Moloch Kapital""",false,true,false
1897-98aCLEAN:981,1897-98aCLEAN,981,149636,"Es würde also gerade von seinem
Gesichtspunkt aus widersinnig sein, die prinzipielle Stellung zur gewerblichen
Arbeit der Jugend von dem zeitweiligen Gegensatz zwischen Arbeit und Kapital
abhängig zu machen, anstatt eben von der Rücksicht auf die körperliche, geistige
und moralische Entwicklung der Jugend selbst.",Kapital,kapital,149636,149950,true,false,N/A,,,,No,No,,false,false,false
1897-98aCLEAN:1062,1897-98aCLEAN,1062,162046,"Die Resolution lautet:
„In Erwägung, daß internationale Mittel und Wege zum Schutze der
Arbeiter zur nothwendigen Voraussetzung Koalitions= (Vereins= und Versamm¬
lungs) freiheit und Preßfreiheit haben, in Erwägung, daß dieser gesetzliche Boden
dank der zarischen Gesetzgebung und Verwaltung den Arbeitern des größten Reiches
Europas völlig entzogen ist, ferner in Erwägung, daß der Kapitalismus in Ruß¬
land reißende Fortschritte macht und zwar nicht zum geringsten Theile dank dem
Zufluß der europäischen Kapitalien und unter Mithilfe des Unternehmungsgeistes
der europäischen Kapitalisten, wodurch mit naturgesetzlicher Nothwendigkeit der
proletarische Klassenkampf erzeugt wird, ein Kampf, der unter dem stets wachsenden
Einfluß der von der westenropäischen Arbeiterschaft getragenen Ideenbewegung
nach den ihm adäquaten Formen ringt — erklärt der internationale Kongreß
für Arbeiterschutz im Interesse des internationalen Arbeiterschutzes und der ge¬",Kapital,kapital,162046,163001,true,false,N/A,,,,No,No,,false,false,false
1897-98aCLEAN:1100,1897-98aCLEAN,1100,171584,"Ihre Kapi¬
talisten bringen ins Zarenreich ihre Kapitalien, ihren Unternehmungsgeist und
noch dazu einen Theil der technisch ausgebildeten Arbeiterschaft des kapitalistischen
Europa.",Kapital,kapital,171584,171766,true,false,N/A,,,,No,No,,false,false,false
1897-98aCLEAN:1246,1897-98aCLEAN,1246,194594,"Demgegenüber verschwinden die Harmonie zwischen Kapital und
Arbeit predigenden „Hirsch=Dunkerschen Gewerkvereine“.",Kapital,kapital,194594,194708,true,false,N/A,,,,No,No,,false,false,false
1897-98aCLEAN:1496,1897-98aCLEAN,1496,225879,"XVI. Jahrgang, I. Band.",Band,band,225879,225902,true,false,N/A,,,,No,No,,false,false,false
1897-98aCLEAN:1502,1897-98aCLEAN,1502,226399,"Was uns zu dieser Bemerkung berechtigt, ist ein dicker Band, den kürzlich
Charles Andler in Paris herausgegeben hat, unter dem Titel: „Les origines
du Sozialisme d'état en Allemagne“.",Band,band,226399,226582,true,false,N/A,,,,No,No,,false,false,false
1897-98aCLEAN:1503,1897-98aCLEAN,1503,226583,"Der Band behandelt die „drei theo¬
retischen Probleme“ des deutschen Staatssozialismus: die Grundsätze des Rechtes,
die Produktion der Reichthümer und ihre Vertheilung, während ein zweiter, ver¬
muthlich ebenso dicker Band seine „drei praktischen Fragen“: die sozialen Krisen,
die Mittel ihrer Abhilfe und die Grundsätze der Regierung behandeln soll.",Band,band,226583,226933,true,false,N/A,,,,No,No,,false,false,false
1897-98aCLEAN:1576,1897-98aCLEAN,1576,238051,"und so weiter in der Darstellung des Herrn Andler werden, so müßte man zu
seinem dicken Bande mindestens einen ebenso dicken Band schreiben.",Band,band,238051,238191,true,false,N/A,,,,No,No,,false,false,false
1897-98aCLEAN:1674,1897-98aCLEAN,1674,252290,"Grundbesitz sei naturnothwendig zum Untergang verurtheilt, daß die sozialistische
Partei ihm gegenüber sich darauf zu beschränken habe, die Ursachen hervorzuheben,
die die Konzentration des Kapitals und die daraus folgende Proletarisirung der
kleinen Grundbesitzer hervorrufen.",Das Kapital | Kapital,der kapital | kapital,252290,252567,true,false,N/A,,,,No,No,,false,false,false
1897-98aCLEAN:1865,1897-98aCLEAN,1865,287351,"Aus Bänder sind sie allerdings, diese Minen¬
kompagnien, von denen Mr. Rhodes „inkognito“ ein Hauptaktionär ist, denen es
hauptsächlich daran lag, die Staatsabgaben von sich abzuwälzen.",Band,band,287351,287536,true,false,N/A,,,,No,No,,false,false,false
1897-98aCLEAN:2056,1897-98aCLEAN,2056,310688,Ein Beitrag zur Herrschaft des Kapitals.,Das Kapital | Kapital,der kapital | kapital,310688,310728,true,false,N/A,,,,No,No,,false,false,false
1897-98aCLEAN:2136,1897-98aCLEAN,2136,318908,"Die eben erzählte Geschichte ist lehrreich
sie zeigt, wie Unwissenheit
genug
und Mangel an Organisation der Ausgebeuteten die Uebermacht des Kapitals noch
vermehren.",Das Kapital | Kapital,der kapital | kapital,318908,319073,true,false,N/A,,,,No,No,,false,false,false
1897-98aCLEAN:2169,1897-98aCLEAN,2169,323538,"Imeuble
-
1896
Dividende
Kapital
Bezeichnung der Banken
Summa
Rohgewinn
Reingewinn
Mark
Mark
Mark
Mark
11 500 000
115 000 000
16 981 184 14 100 364
Diskontogesellschaft Berlin
Davon:
Norddentsche Bank in Ham¬
40 000 000
3 200 000
4 293 128
5 102 026
burg
100 000
18 456 007 13 303 807
Deutsche Bank
Davon:
20 000 000
1219 508
Deutsche überseeische Bank
2 169 830
85 000 000
6 800 000
8 960 982
12 110 185
Dresdener Bank
7 934 668
80 000
6 525 000
9328 804
Berliner Handelsgesellschaft.",Kapital,kapital,323538,324023,true,false,N/A,,,,No,No,,false,false,false
1897-98aCLEAN:2184,1897-98aCLEAN,2184,325614,"91
Nach den Berechnungen des „Deutschen Oekonomisten“ hat sich das in den
Banken investirte Kapital, das im Jahre 1883 mit Einschluß der Reserven sich auf
circa 800 Millionen Mark belief, 1895 auf circa 1340 Millionen erhöht, während
die Summe des gesammten eigenen und fremden Kapitals, das in der Verwaltung
der Banken war, der hohen Summe von 4 Milliarden sich näherte.",Kapital,kapital,325614,325986,true,false,N/A,,,,No,No,,false,false,false
1897-98aCLEAN:2372,1897-98aCLEAN,2372,345483,"XVI. Jahrgang, I. Band.",Band,band,345483,345506,true,false,N/A,,,,No,No,,false,false,false
1897-98aCLEAN:2970,1897-98aCLEAN,2970,438430,"Jahrgang, Band I, S. 398 ff.
cʼest avec",Band,band,438430,438469,true,false,N/A,,,,No,No,,false,false,false
1897-98aCLEAN:2988,1897-98aCLEAN,2988,440786,"Der Mangel an nöthigen statistischen Daten — der vorliegende Band ent¬
hält noch keine Mittheilungen über den Altersaufbau der Bevölkerung — zwingt
uns, uns mit dieser Andeutung zu begnügen.",Band,band,440786,440976,true,false,N/A,,,,No,No,,false,false,false
1897-98aCLEAN:3019,1897-98aCLEAN,3019,445025,"„Der Proletarier, den das
Kapital nicht verwenden kann, gehört ins Zuchthaus.""",Das Kapital | Kapital,der kapital | kapital,445025,445103,true,false,N/A,,,,No,No,,false,false,false
1897-98aCLEAN:3183,1897-98aCLEAN,3183,461369,"XVI. Jahrgang, I. Band.",Band,band,461369,461392,true,false,N/A,,,,No,No,,false,false,false
1897-98aCLEAN:3334,1897-98aCLEAN,3334,481882,"So erklärt sich die Erscheinung, daß gerade bei den
1 Stephen powers, „Tribes of Califernia“, Band III der „Contributions to
North America Ethnology“ (Department of the Intenor.",Band,band,481882,482059,true,false,N/A,,,,No,No,,false,false,false
1897-98aCLEAN:3390,1897-98aCLEAN,3390,488641,"Stephen powers, „Tribes of California“, S. S5.
„Beiträge zur Kenntniß des russischen Reiches und der angrenzenden Länder Asiens“,
herausgegeben von K. E. v. Baer und G.v. Helmersen, I. Band, S. 88.
R. C. Mayne, „Four Years in British Kickbia“, S. 257
Ebendas.",Band,band,488641,488900,true,false,N/A,,,,No,No,,false,false,false
1897-98aCLEAN:3800,1897-98aCLEAN,3800,546232,"Der Staat müßte zu diesen Nationalwerkstätten das erforderliche Kapital
vorstrecken, „der Staat, dessen Pflicht es ist, durch jedes Mittel den Wohlstand
„Unter der Herrschaft des Geldes“, so schrieb Gall in seiner bereits angeführten",Kapital,kapital,546232,546465,true,false,N/A,,,,No,No,,false,false,false
1897-98aCLEAN:4016,1897-98aCLEAN,4016,570451,"XVI. Jahrgang, I. Band.",Band,band,570451,570474,true,false,N/A,,,,No,No,,false,false,false
1897-98aCLEAN:4023,1897-98aCLEAN,4023,571116,"Man könnte einen starken Band füllen, wenn man alle die absichtlichen
Ungezogenheiten registriren wollte, die sich russische Selbstherrscher seit hundert Jahren
gegen deutsche Fürsten herausgenommen, und zwar straflos heraußgenommen haben.",Band,band,571116,571355,true,false,N/A,,,,No,No,,false,false,false
1897-98aCLEAN:4107,1897-98aCLEAN,4107,583561,"Den Gegensatz unseres zu ihrem Standpunkt
haben wir bereits im 14. Jahrgang, 2. Band der „Neuen Zeit“ im Artikel „Finis Poloniae?
(S. 484 ff., 513 ff.) auseinandergesetzt.",Band,band,583561,583732,true,false,N/A,,,,No,No,,false,false,false
1897-98aCLEAN:4574,1897-98aCLEAN,4574,646187,"In L. H. Morgans „Systems of Consanguinity and Affinity“, Band XVII der
„Smithsonian Contributions to knowledge“, S. 583.",Band,band,646187,646308,true,false,N/A,,,,No,No,,false,false,false
1897-98aCLEAN:4770,1897-98aCLEAN,4770,670431,"Endlich wird er mit Barnato von seinen begeisterten Anhängern
fortgezogen und ein kurzes Zwiegespräch zwischen zweien derselben, während sie
den Wagen ziehen, spricht Bände: „Paß auf!“ sagte der Eine, „Du hättest das
Ding beinahe umgeworfen.'",Band,band,670431,670673,true,false,N/A,,,,No,No,,false,false,false
1897-98aCLEAN:4905,1897-98aCLEAN,4905,684373,"XVI. Jahrgang, I. Band.",Band,band,684373,684396,true,false,N/A,,,,No,No,,false,false,false
1897-98aCLEAN:5526,1897-98aCLEAN,5526,775268,"aber ein Band von über 650 Seiten ist
mehr als ein „Effai“, und man wird größere Anforderungen an ihn zu stellen haben,
als an einen „Essai“.",Band,band,775268,775409,true,false,N/A,,,,No,No,,false,false,false
1897-98aCLEAN:5539,1897-98aCLEAN,5539,776722,"Es ist eine harte Arbeit, sich durch diesen Band hindurchzuarbeiten, und der Lohn
der Arbeit ist gering.",Band,band,776722,776826,true,false,N/A,,,,No,No,,false,false,false
1897-98aCLEAN:5780,1897-98aCLEAN,5780,801291,"XVI. Jahrgang, I. Band.",Band,band,801291,801314,true,false,N/A,,,,No,No,,false,false,false
1897-98aCLEAN:6614,1897-98aCLEAN,6614,921371,"XVI. Jahrgang, I. Band.",Band,band,921371,921394,true,false,N/A,,,,No,No,,false,false,false
1897-98aCLEAN:6628,1897-98aCLEAN,6628,923312,"Aber Gatsächlich wird über dieses Problem
ein patriotisches Geschrei erhoben, als gelte es, die Welt an allen vier Ecken
anzuziinden, und die Schwärmer für die uferlosen Flottenpläne quälen sich im
Schweiße ihres Angesichts ab, aus dem sehr nebensächlichen Zwischenfall poli¬
tisches Kapital für die nächsten Reichstagswahlen zu schlagen.",Kapital,kapital,923312,923650,true,false,N/A,,,,No,No,,false,false,false
1897-98aCLEAN:6720,1897-98aCLEAN,6720,938416,"Der Hohen¬
zollern=König von Gottes Gnaden mußte vor „Könige Stumm“, dem König voll
Kapitals Gnaden, die Waffen strecken, der Monarchismus kapitulirte zerknirscht",Kapital,kapital,938416,938578,true,false,N/A,,,,No,No,,false,false,false
1897-98aCLEAN:6741,1897-98aCLEAN,6741,941145,"Weil ich dies — im
Einklang mit dem Kommunistischen manifest — für meine Pflicht hielt
und dem zäsaristischen Polizeisozialismus der Herren Bismarck, Wagener,
Schweitzer und Kompagnie entgegentrat, wurde ich 1865 aus Preußen aus¬
gewiesen; und ich war in der Partei einer der ersten, der bei Stichwahlen
zwischen Oppositions= und Regierungskandidaten die Stimmabgabe für jene
befürwortete.",Manifest | Kommunistische Manifest,manifest | kommunistisch manifest,941145,941534,false,true,e0a9c18f-682d-4871-bfc1-1cccf25568fd,941145,941534,"Weil ich dies — im Einklang mit dem Kommunistischen manifest — für meine Pflicht hielt und dem zäsaristischen Polizeisozialismus der Herren Bismarck, Wagener, Schweitzer und Kompagnie entgegentrat, wurde ich 1865 aus Preußen aus¬ gewiesen; und ich war in der Partei einer der ersten, der bei Stichwahlen zwischen Oppositions= und Regierungskandidaten die Stimmabgabe für jene befürwortete.",No,Yes,,false,false,false
1897-98aCLEAN:7390,1897-98aCLEAN,7390,1039007,"XVI. Jahrgang, I. Band.",Band,band,1039007,1039030,true,false,N/A,,,,No,No,,false,false,false
1897-98aCLEAN:7839,1897-98aCLEAN,7839,1103546,"Das „Kapital“, Band III, 2. Theil, S. 315.",Das Kapital | Kapital | Band,der kapital | kapital | band,1103546,1103588,true,false,N/A,,,,No,No,"MISC : ""Kapital""",false,true,false
1897-98aCLEAN:7842,1897-98aCLEAN,7842,1103634,"307
noch ganz genau auf die jüngste Publikation über die Grundrente, auf dre Aus¬
führungen in Brentanos „Agrarpolitik
Worauf die „neue“ Rententheorie Brentanos hinausläuft, davon giebt
Vorgeschmack der Satz: „Boden ist heute Kapital“, welchen er in § 1:
einen
„Der Boden und seine Eigenschaften“, aufstellt, doch schwächt er ihn sofort ab
durch den darauffolgenden Satz: „Allein er unterscheidet sich von anderen Kapi¬
talien allerdings (1), infofern er eine monopolisirte Naturgabe ist, die nur in
beschränkter Menge vorhanden ist“ (S. 13).",Kapital,kapital,1103634,1104176,true,false,N/A,,,,No,No,,false,false,false
1897-98aCLEAN:7843,1897-98aCLEAN,7843,1104177,"Diese Hervorhebung des Kapital¬
charakters des Bodens ist aber gerade das Gefährliche bei der Behandlung der
Bodenrente, denn „die Schwierigkeit — sagt Marx an derselben Stelle —
be¬
steht darin, nachzuweisen, woher nach Ausgleichung des Mehrwerths unter den
verschiedenen Kapitalien zum Durchschnittsprofit, zu einem ihren verhältnißmäßigen
Größen entsprechenden proportionellen Antheil an dem Gesammtmehrwerth,
den
das gesellschaftliche Kapital in allen Produktionssphären zusammen erzeugt hat,
woher nach dieser Ausgleichung, nach der scheinbar bereits stattgehabten Ver¬
theilung des Mehrwerths, der überhaupt zu vertheilen ist, woher da noch der
überschüssige Theil des Mehrwerths stammt, den das im Boden angelegte Kapital",Kapital,kapital,1104177,1104905,true,false,N/A,,,,No,No,,false,false,false
1897-98aCLEAN:7845,1897-98aCLEAN,7845,1104970,"Also die
Verwendung des Kapitals im Ackerbau, die speziellen Eigenschaften, welche das¬
selbe annimmt, sobald der Boden es einsaugt, sind zu untersuchen, diese Eigen¬
schaften sind das Charakteristische.",Das Kapital | Kapital,der kapital | kapital,1104970,1105173,true,false,N/A,,,,No,No,,false,false,false
1897-98aCLEAN:7846,1897-98aCLEAN,7846,1105174,"Sobald aber der Boden selbst schlechthin als
Kapital betrachtet wird, muß sich das ganze Gesichtsfeld verschieben, die Analyse
wird unmöglich.",Kapital,kapital,1105174,1105316,true,false,N/A,,,,No,No,,false,false,false
1897-98aCLEAN:7871,1897-98aCLEAN,7871,1108720,"Grund: Der Pächter macht die Meloriationen mit eigenem Kapital; wird dann
der Pachtkontrakt erneuert, so eskamotirt einfach der Eigenthümer dieses Kapital.",Kapital,kapital,1108720,1108875,true,false,N/A,,,,No,No,,false,false,false
1897-98aCLEAN:7872,1897-98aCLEAN,7872,1108876,"Er verkauft oder verpachtet „nicht nur den Boden, sondern den verbesserten Boden
das der Erde einverleibte Kapital, das ihn nichts gekostet hat“ (Marx, „Kapital“ III,
2. Theil, S. 159).",Kapital,kapital,1108876,1109061,true,false,N/A,,,,No,No,"MISC : ""Kapital""",false,true,false
1897-98aCLEAN:7893,1897-98aCLEAN,7893,1112188,"ist heute Kapital“, denn dadurch sollte darauf hingewiesen werden, daß dem
Boden heute Kapital einverleibt ist, daß Meliorationen gemacht sind und gemacht
werden.",Kapital,kapital,1112188,1112350,true,false,N/A,,,,No,No,,false,false,false
1897-98aCLEAN:7917,1897-98aCLEAN,7917,1115652,"Das Grundeigenthum befähigt den Eigen¬
thümer, die Differenz zwischen dem individuellen profit und dem Durchschnitts¬
profit abzufangen; der so abgefangene profit, der sich jährlich erneuert, kann
Naturkraft selbst“ („Kapital“ III,
kapitalisirt werden und erscheint dann als Preis de
Theil II, S. 188).",Kapital,kapital,1115652,1115954,true,false,N/A,,,,No,No,"MISC : ""Kapital“""",false,true,false
1897-98aCLEAN:7920,1897-98aCLEAN,7920,1116320,"is wächst, 2. weil der Zins des dem Boden einverleibten Kapitals wächt.",Kapital,kapital,1116320,1116391,true,false,N/A,,,,No,No,,false,false,false
1897-98aCLEAN:7930,1897-98aCLEAN,7930,1117515,"in Folge der¬
selben ergiebt das im Boden verwendete Kapital dem Grundeigenthümer entweder
ein absolut größeres Erträgniß oder doch ein grönheres Ertragniß als andere
Kapitalanlagen.",Kapital,kapital,1117515,1117697,true,false,N/A,,,,No,No,,false,false,false
1897-98aCLEAN:7941,1897-98aCLEAN,7941,1119153,"Das ist ja eben der Fluch der Grundrente, sie legt die Produktion brach, aus
welchen Gründen immer sie steigen mag, weil sie den Bodenpreis steige
Schlagend sagt Marx: „Die Ausgabe von Geldkapital für Ankauf des Bodens
ist keine Anlage von agrikolem Kapital.",Kapital,kapital,1119153,1119411,true,false,N/A,,,,No,No,,false,false,false
1897-98aCLEAN:7942,1897-98aCLEAN,7942,1119412,"Sie ist pro tanto eine Verminderung
des Kapitals, über das die Kleinbauern in ihrer Produktionssphäre selbst ver¬
stigen können.",Das Kapital | Kapital,der kapital | kapital,1119412,1119540,true,false,N/A,,,,No,No,,false,false,false
1897-98aCLEAN:7948,1897-98aCLEAN,7948,1120113,"— Somit fällt also auch der so
hübsch konstruirte Gegensatz
zwischen „segensreichem"" und „schädlichem“ Steigen
des Bodenpreises, zu Gunsten
dessen jener aller Wissenschaft Hohn sprechende
Satz:
Boden ist Kapital“
aufgestellt wurde, in sein Nichts zusammen.",Kapital,kapital,1120113,1120369,true,false,N/A,,,,No,No,,false,false,false
1897-98aCLEAN:8185,1897-98aCLEAN,8185,1154261,"XVI. Jahrgang, I. Band.",Band,band,1154261,1154284,true,false,N/A,,,,No,No,,false,false,false
1897-98aCLEAN:8681,1897-98aCLEAN,8681,1223596,"Daß bei solcher Entwicklung der Beschäftigungsgruppen im Bergbau eine
Statistik, die generaliter alle Unfälle seit zehn Jahren auf die Gesammtbelegschaft
„Archiv für soziale Gesetzgebung und Statistik“, 11. Band, 1. und 2. Heft.",Band,band,1223596,1223824,true,false,N/A,,,,No,No,,false,false,false
1897-98aCLEAN:8693,1897-98aCLEAN,8693,1225458,die Schuld des Kapitals erscheint dadurch geringer.,Das Kapital | Kapital,der kapital | kapital,1225458,1225509,true,false,N/A,,,,No,No,,false,false,false
1897-98aCLEAN:8886,1897-98aCLEAN,8886,1250918,"Die Viehhöfe von Chicago — Eigenthum der Union Stock Pard and transit Co.,
deren Kapital rund 13¼ Millionen Dollars (=ca.60 Millionen Mark) beträgt — wurden
im Jahre 1864 angelegt.",Das Kapital | Kapital,der kapital | kapital,1250918,1251098,true,false,N/A,,,,No,No,,false,false,false
1897-98aCLEAN:9059,1897-98aCLEAN,9059,1270080,"XVI. Jahrgang, I. Band.",Band,band,1270080,1270103,true,false,N/A,,,,No,No,,false,false,false
1897-98aCLEAN:9065,1897-98aCLEAN,9065,1270512,"Vergleicht man alle Daten,
die in den vorhandenen Quellen nicht immer übereinstimmen — auch in den Angaben,
welche die Verfasser selbst zu verschiedenen Zeiten gemacht haben, finden sich kleine
Unterschiede —, so wird man die Mitte des Dezembermonats als den Zeitpunkt an¬
nehmen dürfen, an dem das Kommunistische manifest als eine bahnbrechende Macht
in den vorgeschrittensten Kreisen der europäischen Arbeiterwelt zu wirken begann.",Manifest | Kommunistische Manifest,manifest | kommunistisch manifest,1270512,1270945,false,true,d29bcd53-f896-4602-9809-f0b14252fdd4,1270800,1270945,an dem das Kommunistische manifest als eine bahnbrechende Macht in den vorgeschrittensten Kreisen der europäischen Arbeiterwelt zu wirken begann.,No,Yes,,false,false,false
1897-98aCLEAN:9068,1897-98aCLEAN,9068,1271285,"In dem manifest flossen die Ströme
des theoretischen Sozialismus und der praktischen Arbeiterbewegung ineinander,",Das Manifest | Manifest,der manifest | manifest,1271285,1271398,false,true,N/A,,,,No,No,,false,false,false
1897-98aCLEAN:9072,1897-98aCLEAN,9072,1272262,"Nach dieser Seite hin war an dem kommunistischen manifest nur die klassische
Form neu; seine epochemachende Bedeutung erhielt es durch das Verständniß,
womit es die Elite der europäischen Arbeiterklasse ergr
Was Engels über die Entstehungsgeschichte des kommunistischen manifestes
zu sagen hatte, ist in weit verbreiteten Schriften enthalten; wenig bekannt oder
1807-98.",Manifest | Kommunistische Manifest,manifest | kommunistisch manifest,1272262,1272632,false,true,e8940409-3cc0-48c3-9312-d9c7d96d81aa,1272262,1272870,"Nach dieser Seite hin war an dem kommunistischen manifest nur die klassische Form neu; seine epochemachende Bedeutung erhielt es durch das Verständniß, womit es die Elite der europäischen Arbeiterklasse ergr Was Engels über die Entstehungsgeschichte des kommunistischen manifestes zu sagen hatte, ist in weit verbreiteten Schriften enthalten; wenig bekannt oder 1807-98. I. Bb. Die Neue Zeit.  Maje. so gut wie unbekannt ist dagegen eine entsprechende Darstellung von Marx, die sich in seiner Streitschrift gegen Vogt findet und am fünfzigjährigen Gedenktage des manifestes wohl abgedruckt zu werden verdient",No,Yes,,false,false,false
1897-98aCLEAN:9075,1897-98aCLEAN,9075,1272658,"Maje.
so gut wie unbekannt ist dagegen eine entsprechende Darstellung von Marx, die
sich in seiner Streitschrift gegen Vogt findet und am fünfzigjährigen Gedenktage
des manifestes wohl abgedruckt zu werden verdient.",Das Manifest | Manifest,der manifest | manifest,1272658,1272873,false,true,e8940409-3cc0-48c3-9312-d9c7d96d81aa,1272262,1272870,"Nach dieser Seite hin war an dem kommunistischen manifest nur die klassische Form neu; seine epochemachende Bedeutung erhielt es durch das Verständniß, womit es die Elite der europäischen Arbeiterklasse ergr Was Engels über die Entstehungsgeschichte des kommunistischen manifestes zu sagen hatte, ist in weit verbreiteten Schriften enthalten; wenig bekannt oder 1807-98. I. Bb. Die Neue Zeit.  Maje. so gut wie unbekannt ist dagegen eine entsprechende Darstellung von Marx, die sich in seiner Streitschrift gegen Vogt findet und am fünfzigjährigen Gedenktage des manifestes wohl abgedruckt zu werden verdient",No,Yes,,false,false,false
