file,quote,type,speaker,cue,addressee,frame,quote_offsets,cue_offsets,speaker_offsets,addressee_offsets,frame_offsets
1896-97aCLEAN_chunk_004.txt,entwickeln,Direct,,,,,15484-15494,,,,
1896-97aCLEAN_chunk_004.txt,entwickeln,Direct,,,,,15484-15494,,,,
1896-97aCLEAN_chunk_004.txt,einer,Direct,,,,,16219-16224,,,,
1896-97aCLEAN_chunk_004.txt,einer,Direct,,,,,16219-16224,,,,
1896-97aCLEAN_chunk_004.txt,“,Direct,er,,,,17512-17513,,17053-17055,,
1896-97aCLEAN_chunk_004.txt,“,Direct,er,,,,17512-17513,,17053-17055,,
1896-97aCLEAN_chunk_004.txt,er “,Direct,,,,,17053-17055;17826-17827,,,,
1896-97aCLEAN_chunk_004.txt,s. “,Direct,einen Steinblock,,,,18150-18152;18312-18313,,18162-18178,,
1896-97aCLEAN_chunk_004.txt,s. “,Direct,einen Steinblock,,,,18150-18152;18312-18313,,18162-18178,,
1896-97aCLEAN_chunk_004.txt,"einen Steinblock Seine Schwester stand ihm mit liebevollen Rathschlägen zur Seite. „Meine
Bruder, gieb so schuell als möglich.
die Einsamkeit auf, die Dir nicht taugt,
suche eine Beschäftigung. Ich weiß, daß Du bitter über die Nothwendigkeit
lachst, in der man sich in Frankreich befindet, einen Beruf zu ergreifen....
Es ist besser, mein lieber Reué, etwas mehr den Alltagsmenschen zu gleichen und
etwas weniger, an Unglück zu tragen.“",Direct,Seine Schwester,,,,18162-18178;18315-18734,,18315-18330,,
1896-97aCLEAN_chunk_004.txt,"„Meine
Bruder, gieb so schuell als möglich.
die Einsamkeit auf, die Dir nicht taugt,
suche eine Beschäftigung. Ich weiß, daß Du bitter über die Nothwendigkeit
lachst, in der man sich in Frankreich befindet, einen Beruf zu ergreifen....
Es ist besser, mein lieber Reué, etwas mehr den Alltagsmenschen zu gleichen und
etwas weniger, an Unglück zu tragen.“",Direct,Seine Schwester,,,,18381-18734,,18315-18330,,
1896-97aCLEAN_chunk_004.txt,"„Steigt auf, ersehnte Stürme, die ihr Reué in die Fernen¬
eines anderen Lebens tragen sollt!""",Direct,,,,,20772-20865,,,,
1896-97aCLEAN_chunk_004.txt,"„Ach, ich warf
allein, allein auf der weiten Welt! Ein geheimes Sehnen, das mich aufrieb,
bemächtigte sich meines Wesens. Der Ekel am Leben packte mich mit neuer,
stärkerer Kraft.“",Direct,,,,,20968-21148,,,,
1896-97aCLEAN_chunk_004.txt,"Beim Ausbruch der
Revolution",Direct,,,,,22066-22094,,,,
1896-97aCLEAN_chunk_004.txt,"Beim Ausbruch der
Revolution",Direct,,,,,22066-22094,,,,
1896-97aCLEAN_chunk_004.txt,"„Ich hatte nichts anderes zu thun“, sagt",Direct,,,,,22878-22918,,,,
1896-97aCLEAN_chunk_004.txt,seine,Direct,,,,,23866-23871,,,,
1896-97aCLEAN_chunk_004.txt,seine,Direct,,,,,23866-23871,,,,
1896-97aCLEAN_chunk_004.txt,seine,Direct,,,,,23866-23871,,,,
1896-97aCLEAN_chunk_004.txt,"„daß man überall das Kleid¬
und nicht den Menschen ehrt. Es schadet dir nichts, daß du ein Spitzbube,
wenn di ntur reich bist; es nützt dir nichts, ein ehrlicher Mann zu sein, wenn¬
du arm bist",Indirect,,,,,24080-24273,,,,
1896-97aCLEAN_chunk_004.txt,"ihn „daß man überall das Kleid¬
und nicht den Menschen ehrt. Es schadet dir nichts, daß du ein Spitzbube,
wenn di ntur reich bist; es nützt dir nichts, ein ehrlicher Mann zu sein, wenn¬
du arm bist",Direct,,,,,23943-23946;24080-24273,,,,
1896-97aCLEAN_chunk_004.txt,"=Beuve besaß ein Exemplar des „Essaif, das von der
Hand des Verfassers mit Anmerkungen versehen war.",Direct,,,,,25186-25286,,,,
1896-97aCLEAN_chunk_016.txt,man sieht ihn nicht,Indirect,er,glaubt,,"er verfteckt seinen Kopf und glaubt,",1905-1924,1897-1903,1868-1870,,1868-1904
1896-97aCLEAN_chunk_016.txt,daß man sie vergißt,Indirect,"Die
Herren Apotheker",hoffen,,"Die
Herren Apotheker sind mäuschenstill und hoffen,",1978-1997,1970-1976,1926-1946,,1926-1977
1896-97aCLEAN_chunk_016.txt,"wenn den Apothekern nicht die
vollen Kaufpreise oder richtiger Spekulationswerthe gezahlt werden",Indirect,,,,,17232-17328,,,,
1896-97aCLEAN_chunk_016.txt,"So wäre zunächst diese Anleihe zu
billigerem Zinsfuß zu haben, als die heute in den Apotheken steckenden Kapi¬
talien zu Buche stehen.",IndirectFreeIndirect,,,,,18419-18553,,,,
1896-97aCLEAN_chunk_016.txt,"es wären 400 Millionen erforderlich und dieselben würden,
durch eine Reichsanleihe aufgebracht",Indirect,,wir an,,"wir an,",18323-18417,18315-18318;18319-18321,,,18315-18322
1896-97aCLEAN_chunk_016.txt,"wir an, es wären 400 Millionen erforderlich und dieselben würden,
durch eine Reichsanleihe aufgebracht. So wäre zunächst diese Anleihe zu
billigerem Zinsfuß zu haben, als die heute in den Apotheken steckenden Kapi¬
talien zu Buche stehen. Dabei werden aber hente nicht nur die Zinfen auf¬
gebracht, sondern noch recht nette Ueberschüsse erzielt, die wahrscheinlich zur¬
Deckung der erhöhten Kosten, die der Staatsbetrieb im Anfange verursachen


107
Philanthropus: Zur Apothekenfrage.
würde, ausreichen würden. An Gehältern wäre wahrscheinlich ein Beträchtliches
mehr zu zahlen, als heute. Denn die hohe Arbeitsleistung, die heute von den
Apothekergehilfen verlangt wird, dürfte der Staat seinen Angestellten nicht zu¬
muthen. Keineswegs aber halten wir es für richtig, daß, wie häufig eingewandte
wird, für jede noch so kleine Landapotheke zwei Angestellte nöthig wären. Ein
Apotheker, dem ein mehrwöchentlicher Urlaub oder andere Art öfterer Ablösung,
bewilligt würde, wäre immer noch ganz bedeutend besser gestellt, als ein heutiger,
Landapotheker. Eine Vermehrung der Angestellten wäre damit freilich immer¬
hin nöthig.
Dent steht aber gegenüber, daß die Staatsapotheken durch den Fortfall¬
des Laboratoriums wesentlich billiger arbeiten würden. In großen Zentral¬
laboratorien könnten die Arzneivorräthe für eine ganze Reihe von Apotheken unter
günstigsten Bedingungen dargestellt werden. (Neben finanziellen Vortheilen würden.
dabet noch große Vortheile für die Ausbildung der Jünger der Pharmazie erstehen.
Die heute vielfach gefundene mangelhafte Ausbildung der Pharmazeuten hat ihren
Grund darin, daß die technischen und wissenschaftlichen Seiten des Berufs imme
mehr hinter der rein kaufmännischen zurückstehen müssen.) Wir meinen, daß bei
Beibehaltung der heutigen Taxe die Staatsapotheke mindestens keine erheblichen
Kosten verurfachen würde. Nun ist aber unbedingt anzustreben, daß die Arzneien
billiger werden, daß sie schließlich zum Selbstkostenpreise an das Publikum ab¬
gegeben werden. Die „Pharmazeutische Zeitung“ meinte allerdings einmal, der
wohlhabende Theil der Bevölkerung würde sich diese „Wohlthat aus öffentlichen
Mitteln“ nicht gefallen lassen! Die gute Seele! Das wäre freilich schlimm,
vielleicht ließe sich dem aber abhelfen, wenn in den Apotheken dann Sammel¬
büchsen ausgestellt würden! Vielleicht nützte das aber auch noch nicht viel, in den
Kirchen sind ja auch solche Sammelbüchsen ausgestellt, aber trotzdem ist der
Kirchenbesuch von Sekten der wohlhabenden Klasse ein so geringer — sicher
nur, weil es den feinfühligen Leuten widerstrebt, sich „zum Selbstkostenpreise
Arznei für die kranke Seele zu holenl.",IndirectFreeIndirect,"Dabei werden aber hente nicht nur die Zinfen auf¬
gebracht, sondern noch recht nette Ueberschüsse erzielt, die wahrscheinlich zur¬
Deckung der erhöhten Kosten, die der Staatsbetrieb im Anfange verursachen


107
Philanthropus: Zur Apothekenfrage.
würde, ausreichen würden. An Gehältern wäre wahrscheinlich ein Beträchtliches
mehr zu zahlen, als heute. Denn die hohe Arbeitsleistung, die heute von den
Apothekergehilfen verlangt wird, dürfte der Staat seinen Angestellten nicht zu¬
muthen. Keineswegs aber halten wir es für richtig, daß, wie häufig eingewandte
wird, für jede noch so kleine Landapotheke zwei Angestellte nöthig wären. Ein
Apotheker, dem ein mehrwöchentlicher Urlaub oder andere Art öfterer Ablösung,
bewilligt würde, wäre immer noch ganz bedeutend besser gestellt, als ein heutiger,
Landapotheker. Eine Vermehrung der Angestellten wäre damit freilich immer¬
hin nöthig.
Dent steht aber gegenüber, daß die Staatsapotheken durch den Fortfall¬
des Laboratoriums wesentlich billiger arbeiten würden. In großen Zentral¬
laboratorien könnten die Arzneivorräthe für eine ganze Reihe von Apotheken unter
günstigsten Bedingungen dargestellt werden. (Neben finanziellen Vortheilen würden.
dabet noch große Vortheile für die Ausbildung der Jünger der Pharmazie erstehen.
Die heute vielfach gefundene mangelhafte Ausbildung der Pharmazeuten hat ihren
Grund darin, daß die technischen und wissenschaftlichen Seiten des Berufs imme
mehr hinter der rein kaufmännischen zurückstehen müssen.) Wir meinen, daß bei
Beibehaltung der heutigen Taxe die Staatsapotheke mindestens keine erheblichen
Kosten verurfachen würde. Nun ist aber unbedingt anzustreben, daß die Arzneien
billiger werden, daß sie schließlich zum Selbstkostenpreise an das Publikum ab¬
gegeben werden. Die „Pharmazeutische Zeitung“ meinte allerdings einmal, der
wohlhabende Theil der Bevölkerung würde sich diese „Wohlthat aus öffentlichen
Mitteln“ nicht gefallen lassen! Die gute Seele! Das wäre freilich schlimm,
vielleicht ließe sich dem aber abhelfen, wenn in den Apotheken dann Sammel¬
büchsen ausgestellt würden! Vielleicht nützte das aber auch noch nicht viel, in den
Kirchen sind ja auch solche Sammelbüchsen ausgestellt, aber trotzdem ist der
Kirchenbesuch von Sekten der wohlhabenden Klasse ein so geringer — sicher
nur, weil es den feinfühligen Leuten widerstrebt, sich „zum Selbstkostenpreise
Arznei für die kranke Seele zu holenl.",wir,,,18315-20960,18315-18318,18554-20960,,
1896-97aCLEAN_chunk_016.txt,"„daß man den Patienten
nicht zumuthen könnte, alle Rezepte in die vielleicht entfernt liegende Kassen¬
apotheke zu tragen“",Direct,Ein Mittel,,,,22204-22326,,21679-21689,,
1896-97aCLEAN_chunk_016.txt,"ist aber die Zahl der
dringenden Rezepte im Verhältniß zur Zahl der überhaupt verordneten eine sehr
geringe",Indirect,unseren Erfahrungen,Nach,,Nach unseren Erfahrungen,22531-22638,22506-22510,22511-22530,,22506-22530
1896-97aCLEAN_chunk_016.txt,.,IndirectFreeIndirect,.,,,,22998-22999,,22998-22999,,
1896-97aCLEAN_chunk_016.txt,"Ein¬
weiterer großer Vortheil der Kassenapotheken würde der sein, daß durch die¬
selben die Preise der übrigen Apotheken etwas gedriickt werden dürften, viel¬
leicht in noch höherem Grade, als durch die Errichtung neuer personalkonzessionirter
Apotheken, welches Verfahren erst kürzlich wieder den preußischen Oberpräsidenten,
ins Gedächtniß zurückgerufen worden ist.",IndirectFreeIndirect,.,,,,23095-23462,,22998-22999,,
1896-97aCLEAN_chunk_068.txt,einer,Direct,raschung .,,,,9096-9101,,9066-9074;12172-12173,,
1896-97aCLEAN_chunk_068.txt,einer,Direct,raschung .,,,,9096-9101,,9066-9074;12172-12173,,
1896-97aCLEAN_chunk_068.txt,raschung,Direct,.,,,,9066-9074,,12172-12173,,
1896-97aCLEAN_chunk_068.txt,Die Mutter gab es ihr und die Frau,Direct,,legte,,,7241-7275,7289-7294,,,
1896-97aCLEAN_chunk_068.txt,Die Mutter gab es ihr und die Frau,Direct,,,,,7241-7275,,,,
1896-97aCLEAN_chunk_068.txt,"„Sagen Sie mir, mein Mädchen! Können Sie das Kind ernähren?",Direct,Er,fragtet,,Er beugte sich über sie hinab und fragtet:,12956-13015,12947-12954,12913-12915,,12913-12955
1896-97aCLEAN_chunk_068.txt,"schüttelte sie wieder den,
Kopf. liegen und wiegte sich
hint und her. sagte",Direct,,,,,13249-13281;13495-13531;13598-13603,,,,
1896-97aCLEAN_chunk_068.txt,"schüttelte sie wieder den,
Kopf. liegen und wiegte sich
hint und her. sagte",Direct,,,,,13249-13281;13495-13531;13598-13603,,,,
1896-97aCLEAN_chunk_074.txt,"„Nur Einer ist der Herr, nur Einer der Meister: Christus,
ihr Alle aber seid Brüder.
Man schente und berdammte sogar den Namen Meister,
ja sogar den Namen Vater!",Direct,,,,,7618-7779,,,,
1896-97aCLEAN_chunk_074.txt,"Hinter diesen scheinbar,
dogmatischen Spitzfindigkeiten steckt der große Kampf realer
gesellschaftlicher Mächte und ihrer, die ganze Gesellschaft beein¬
flußenden Interessenkreise",Indirect,wir,wie sehen,,", wie wir sehen,",22031-22093;22110-22226,22095-22098;22103-22108,22099-22102,,22093-22109
1896-97aCLEAN_chunk_047.txt,"Adler referirt über meine Ansicht nicht als meine persönliche Meinung,
sondern als typisch für den „marxistischen Kommunismus“, also wohl die Sozial¬
demokratie.",Reported,Adler,,,,6894-7055,,6894-6899,,
1896-97aCLEAN_chunk_047.txt,"eine derartige Sorge sei unmöglich, und sich prin¬
zipiell ablehnend gegen die Bestrebungen zu verhalten, die Arbeitslosenunterstützung
ausreichender und zweckmäßiger zu gestalten.",Indirect,,,,,7322-7502,,,,
1896-97aCLEAN_chunk_047.txt,"wie sich die Versicherungsanstalt, d. i.
der Staat, in Fällen von Strikes zu verhalten habe",Indirect,,wird die Frage erörtert,,"In demselben wird auch die Frage erörtert,",14602-14693,14572-14576;14582-14600,,,14559-14601
1896-97aCLEAN_chunk_047.txt,"gefunden, in der „Schwäbischen Tagwacht"" ebenso wie in der „Sächsischen Arbeiter¬
zeitung""",Reported,"gefunden, in der „Schwäbischen Tagwacht""",,,,16839-16929,,16839-16855;16856-16879,,
1896-97aCLEAN_chunk_142.txt,"seinem
Prunkmahl des brandenburgischen Provinziallandtags einen Zusammenhang zwischen
den bevorstehenden Festlichkeiten und der revolutionären Arbeiterbewegung her¬
gestellt hat, indem er seinen Großvater als mittelalterlichen Heiligen feierte und
die deutsche Sozialdemokratie eine Pest nannte, die bis auf den letzten Stumpf¬
ausgerottet werden müsse",Indirect,"Zurückhaltung der sozialdemokratischen
Presse",,die deutsche Sozialdemokratie,,1375-1670;1671-1727,,1263-1308,1623-1652,
1896-97aCLEAN_chunk_009.txt,„ganz grundlos angerempelt“,Direct,Kann er uns,,,,6797-6824,,6684-6695,,
1896-97aCLEAN_chunk_009.txt,"„charakter¬
volleren bürgerlichen Blätter“",Direct,,,,,6868-6910,,,,
1896-97aCLEAN_chunk_009.txt,"„Man hat Dumouriez ein Verbrechen aus der Käuflichkeit seiner Grundsätze
emacht""",Direct,er,sagt,,sagt er,13725-13805,13806-13810,13811-13813,,13806-13813
1896-97aCLEAN_chunk_009.txt,"„Die Berechtigung des Vorwurfs vorausgesetzt, wäre
Dumouriez schuldiger als der Rest seines Jahrhunderts gewesen? Wir Römer
dieses Zeitalters der Tugend, wir alle, wie wir sind, halten unsere politischen
Kostüme für den Augenblick der Aufführung bereit, und gegen einen am Eingang
entrichteten halben Thaler kann Jeder sich das Vergnügen verschaffen, uns in
der Toga oder in der Livree, bald als Cassius, bald als Kammerdiener spielen,
zu sehen“",Direct,er,sagt,,sagt er,13815-14260,13806-13810,13811-13813,,13806-13813
1896-97aCLEAN_chunk_009.txt,“,Indirect,Madame de Stadl,,,"Madame de Stadl: „De la littérature considéré dans ses rapports avee les
instikutions sociales.“ Discours préliminaire, 1800. Madame de Stasl entwickelt in
diesem Werke geniale Ansichten über den Einfluß, den das foziale Milieu auf die Entwick¬
lutig der literarischen Form ausübt. Taine hat die Schrift geradezu schmachvoll geplündert,
ohne indessen immer die Tragweite dessen zu erfassen, was er raubte.


64.
Die Neue Zeit.
zu erniedrigen, um nicht verfolgt zu werden“ (Mercure, Thermidor, Jahr VII).
Chateaubriand nannte das poetischer „sein Leben herabdrücken, um es auf das¬
Niveau der Gesellschaft zu bringen“. La Harpe zitterte vor dem Bilde „jener¬
schnauzbärtigen Patrioten, unter denen sich viele Ex=Aristokraten befanden,
die sich ehedem sehr aristokratisch geberdet, seither aber gemansert hatten, und die
den Säbel oder Stock im Namen der Gleichheit gegen einen armen Teufel
erhoben, der sie zu duzen vergessen, und den sie in Trab zu bringen drohten.“
War man nicht mit eigenen Augen Zeuge entsetzlicher Vorgänge gewesen, so hatte
man wenigstens von solchen in der Art derer erzählen hören, welche René in
seinem „Essai"" berichtet: Ein Nationalgardist durchbohrt mit seinem Bajonnett,
ein kleines Mädchen, das seinen quillotinirten Vater beweint „und legt sie fsode
seelenruhig auf einen Haufen Leichen, als wäre es nur ein Bündel Stroh ge¬
wesen.""
„Frauen, die rittlings auf Männerleichen saßen, welche sich in den
zweirüdrigen Karren thürmten, suchten unter entsetzlichem Gelächter die ungeheuer¬
lichste Geilheit zu befriedigen.“ Daß derartige Epifoden geglaubt und weitererzählt,
werden konnten, charakterisirt zur Genüge die panische Furcht, die sich der Ge¬
müther bemächtigt hatte. Die Furcht tödtete die Liebe zum Leben und lähmte,
sogar den Wunsch, es zu vertheidigen. „Ich habe“, so schrieb Rionsse,",23677-23678,,20126-20141,,20126-21950
1896-97aCLEAN_chunk_009.txt,"Madame de Stadl: „De la littérature considéré dans ses rapports avee les
instikutions sociales.“ Discours préliminaire, 1800. Madame de Stasl entwickelt in
diesem Werke geniale Ansichten über den Einfluß, den das foziale Milieu auf die Entwick¬
lutig der literarischen Form ausübt. Taine hat die Schrift geradezu schmachvoll geplündert,
ohne indessen immer die Tragweite dessen zu erfassen, was er raubte.


64.
Die Neue Zeit.
zu erniedrigen, um nicht verfolgt zu werden“ (Mercure, Thermidor, Jahr VII).
Chateaubriand nannte das poetischer „sein Leben herabdrücken, um es auf das¬
Niveau der Gesellschaft zu bringen“. La Harpe zitterte vor dem Bilde „jener¬
schnauzbärtigen Patrioten, unter denen sich viele Ex=Aristokraten befanden,
die sich ehedem sehr aristokratisch geberdet, seither aber gemansert hatten, und die
den Säbel oder Stock im Namen der Gleichheit gegen einen armen Teufel
erhoben, der sie zu duzen vergessen, und den sie in Trab zu bringen drohten.“
War man nicht mit eigenen Augen Zeuge entsetzlicher Vorgänge gewesen, so hatte
man wenigstens von solchen in der Art derer erzählen hören, welche René in
seinem „Essai"" berichtet: Ein Nationalgardist durchbohrt mit seinem Bajonnett,
ein kleines Mädchen, das seinen quillotinirten Vater beweint „und legt sie fsode
seelenruhig auf einen Haufen Leichen, als wäre es nur ein Bündel Stroh ge¬
wesen.""
„Frauen, die rittlings auf Männerleichen saßen, welche sich in den
zweirüdrigen Karren thürmten, suchten unter entsetzlichem Gelächter die ungeheuer¬
lichste Geilheit zu befriedigen.“ Daß derartige Epifoden geglaubt und weitererzählt,
werden konnten, charakterisirt zur Genüge die panische Furcht, die sich der Ge¬
müther bemächtigt hatte. Die Furcht tödtete die Liebe zum Leben und lähmte,
sogar den Wunsch, es zu vertheidigen. „Ich habe“, so schrieb Rionsse,",Indirect,Madame de Stadl,,,,20126-21950,,20126-20141,,
1896-97aCLEAN_chunk_037.txt,"Und sie sprachen nicht immer
von der Pflege der Gefangenen. Sie sprachen auch von Liebe.",Reported,,,,,20303-20391,,,,
1896-97aCLEAN_chunk_135.txt,"dem Strande des
Leman verschickt und dort",Direct,"gerne hätten sie auf die kostbare Gabe verzichtet,
allein der berühmte Künstler war mit seiner Arbeit schon beinahe fertig und Herr¬
Osiris war nicht der Mann, um seinen Gefüihlen Einhalt zu thun. So wurde
denn der Wilhelm Tell vollendet, sorgsam eingepackt",,,"gerne hätten sie auf die kostbare Gabe verzichtet,
allein der berühmte Künstler war mit seiner Arbeit schon beinahe fertig und Herr¬
Osiris war nicht der Mann, um seinen Gefüihlen Einhalt zu thun. So wurde
denn der Wilhelm Tell vollendet, sorgsam eingepackt, , nur leider nicht dasjenige des Schützen von Bürglen",1213-1254,,949-1206,,949-1207;1465-1518
1896-97aCLEAN_chunk_135.txt,"„dies Bildniß sei bezaubernd,
schön"" „dies Bildniß sei bezaubernd,
schön"", nur leider nicht dasjenige des Schützen von Bürglen",Direct,"/ Kleine Briefe [6] /////

Unter Ihren Notizen war jüngst des starken Absatzes gedacht, den Schillers
„Tell"" in der Reclamschen Ausgabe findet. Da muß ich Ihnen doch von den
traurigen Los einer Tell=Statue erzählen. Vor mehreren Jahren, als man in
Laufanne die Gründung der neuen Universität feierte, verkündete das Oberhaupt
der Regierung, ein millionenreicher Pariser Finanzmann, der den mythologischen
Namett Osiris führt, sei Willens, der Stadt Lausanne ein Monument des.
schweizerischen Nationalhelden zu schenken, zum Schmucke eines ihrer öffentlichen
Plätze. Jubelnd wurde die Eröffnung aufgenommen, doch in den Becher der
Freude stel bald ein bitterer Tropfen. Ein Lausanner Blatt vernahm außer¬
einigen Pikanterien über die Hochherzigkeit des Herrn Osiris, daß derselbe in
einer dunklen Gründergeschichte eine nicht eben helle Partie gespielt habe. Die
Lansanner waren betroffen; gerne hätten sie auf die kostbare Gabe verzichtet,
allein der berühmte Künstler war mit seiner Arbeit schon beinahe fertig und Herr¬
Osiris war nicht der Mann, um seinen Gefüihlen Einhalt zu thun. So wurde
denn der Wilhelm Tell vollendet, sorgsam eingepackt, gerne hätten sie auf die kostbare Gabe verzichtet,
allein der berühmte Künstler war mit seiner Arbeit schon beinahe fertig und Herr¬
Osiris war nicht der Mann, um seinen Gefüihlen Einhalt zu thun. So wurde
denn der Wilhelm Tell vollendet, sorgsam eingepackt dem Strande des
Leman verschickt und dort",,,,1429-1465;1429-1518,,60-1207;949-1206;1213-1254,,
1896-97aCLEAN_chunk_135.txt,"„dies Bildniß sei bezaubernd,
schön""",Indirect,"dem Strande des
Leman verschickt und dort",,,,1429-1465,,1213-1254,,
1896-97aCLEAN_chunk_007.txt,"Vertreter der „frühesten Entwicklung des heuchlerischen non¬
konformistischen Gewissens""? bezeichnet wird, so ist das eine direkte historische Un¬
1 Sø stark ist",Indirect,,stark ist,,bezeichnet wird,7174-7335,7326-7335,,,7264-7279
1896-97aCLEAN_chunk_007.txt,"Vertreter der „frühesten Entwicklung des heuchlerischen non¬
konformistischen Gewissens""",Direct,,bezeichnet wird,,,7174-7262,7264-7279,,,
1896-97aCLEAN_chunk_007.txt,"ihre sehr bedingte Trag¬
weite",Indirect,Thatsächlich,ihre,,,17101-17131,17101-17105,17057-17069,,
1896-97aCLEAN_chunk_007.txt,"decken. einer wissenschaftlichen Analyse der Nachfrage so schlechtweg abgewiesen
wird, und es wäre wohl richtiger gewesen, von einem begrenzten Nutzen der
Grenznutzentheorie zu reden, als von ihrer „endgiltigen Gegenstandslosigkeit“.
Die schönen Ausführungen des ersten Buches des „Kapital"" über die
Waare und das Geld sind, wie man weiß, nicht nur begrifflich-analytischen,
sondern auch genetischen Charakters, zeigen deren thatsächliche Entstehungs- und
Entwicklungsgeschichte. Das wird aber von den meisten Popularisirern gern ver¬
gessen. Bemerkungen aus den ersten Paragraphen des Abschnitts, die sich auf
die unentwickelten, undifferenzirten Formen dieser Kategorien beziehen, werden
kurzerhand als endgiltige Definitionen übernommen. So stoßen wir auch bei
Hyndman auf Sätze, die nicht absolut falsch sind, aber so wie sie dastehen, dem
Leser einen falschen Begriff beibringen. In der sønst recht gelungenen Partie,
über das Geld heißt es 3. B.: „Belfort Bax sagt: Die Erde ist formloser
Stoff, und Werth (in diesen Falle Geld) ist stofflose Form, von seinem Erzeuger,
durch die ganze Waarenwelt getreunt."" Wir wissen nicht, in welcher Verbin¬
dung Bax jenen Satz gebraucht hat, so wie er hier steht,",Direct,,,,,20687-20694;21089-22288,,,,
